country,level,perc
Argentina,Data visualization is the focus of my job,9.090909090909092
Australia,Data visualization is the focus of my job,25.925925925925927
Belarus,Data visualization is the focus of my job,66.66666666666667
Belgium,Data visualization is the focus of my job,37.5
Brazil,Data visualization is the focus of my job,27.77777777777778
Canada,Data visualization is the focus of my job,27.419354838709676
Chile,Data visualization is the focus of my job,33.333333333333336
Colombia,Data visualization is the focus of my job,60.0
Costa Rica,Data visualization is the focus of my job,50.0
Denmark,Data visualization is the focus of my job,66.66666666666667
Ecuador,Data visualization is the focus of my job,100.0
Europe,Data visualization is the focus of my job,100.0
Finland,Data visualization is the focus of my job,25.0
France,Data visualization is the focus of my job,38.46153846153846
Georgia,Data visualization is the focus of my job,100.0
Germany,Data visualization is the focus of my job,28.94736842105263
Hong Kong,Data visualization is the focus of my job,50.0
Hong Kong ,Data visualization is the focus of my job,100.0
Hungary,Data visualization is the focus of my job,75.0
India,Data visualization is the focus of my job,30.232558139534884
Ireland,Data visualization is the focus of my job,33.333333333333336
Italy,Data visualization is the focus of my job,60.0
Kenya,Data visualization is the focus of my job,20.0
Kuwait,Data visualization is the focus of my job,100.0
Lebanon,Data visualization is the focus of my job,100.0
Luxembourg,Data visualization is the focus of my job,33.333333333333336
Malaysia,Data visualization is the focus of my job,50.0
Mexico,Data visualization is the focus of my job,25.0
Netherlands,Data visualization is the focus of my job,41.666666666666664
New Zealand,Data visualization is the focus of my job,33.333333333333336
Norway,Data visualization is the focus of my job,14.285714285714286
Not specified,Data visualization is the focus of my job,20.987654320987655
Poland,Data visualization is the focus of my job,33.333333333333336
Romania,Data visualization is the focus of my job,100.0
Russia,Data visualization is the focus of my job,14.285714285714286
Saudi Arabia,Data visualization is the focus of my job,100.0
Scotland,Data visualization is the focus of my job,42.857142857142854
Singapore,Data visualization is the focus of my job,40.0
South Africa,Data visualization is the focus of my job,28.571428571428573
Spain,Data visualization is the focus of my job,27.586206896551722
Sweden,Data visualization is the focus of my job,14.285714285714286
Switzerland,Data visualization is the focus of my job,12.5
Taiwan,Data visualization is the focus of my job,100.0
Tanzania,Data visualization is the focus of my job,50.0
Turkey,Data visualization is the focus of my job,20.0
USA,Data visualization is the focus of my job,26.426426426426428
United Kingdom,Data visualization is the focus of my job,34.25925925925926
