country,datetime,value,date
Argentina,1979-01-01,0,Jan 1979
Argentina,1984-01-01,0,Jan 1984
Argentina,1989-01-01,0,Jan 1989
Argentina,1990-01-01,0,Jan 1990
Argentina,1991-01-01,0,Jan 1991
Argentina,1992-01-01,0,Jan 1992
Argentina,1994-01-01,0,Jan 1994
Argentina,1995-01-01,0,Jan 1995
Argentina,1999-01-01,0,Jan 1999
Argentina,2000-01-01,0,Jan 2000
Argentina,2001-01-01,0,Jan 2001
Argentina,2002-01-01,0,Jan 2002
Argentina,2003-01-01,0,Jan 2003
Argentina,2004-01-01,0,Jan 2004
Argentina,2005-01-01,0,Jan 2005
Argentina,2006-01-01,0,Jan 2006
Argentina,2007-01-01,1,Jan 2007
Argentina,2008-01-01,1,Jan 2008
Argentina,2009-01-01,2,Jan 2009
Argentina,2010-01-01,2,Jan 2010
Argentina,2011-01-01,2,Jan 2011
Argentina,2011-07-01,2,Jul 2011
Argentina,2012-01-01,2,Jan 2012
Argentina,2012-07-01,2,Jul 2012
Argentina,2013-01-01,2,Jan 2013
Argentina,2014-01-01,2,Jan 2014
Argentina,2015-01-01,3,Jan 2015
Argentina,2016-01-01,3,Jan 2016
Argentina,2016-07-01,3,Jul 2016
Argentina,2017-01-01,7,Jan 2017
Argentina,2017-12-01,7,Dec 2017
Argentina,2018-06-01,10,Jun 2018
Argentina,2018-12-01,10,Dec 2018
Argentina,2019-06-01,11,Jun 2019
Australia,1979-01-01,0,Jan 1979
Australia,1984-01-01,0,Jan 1984
Australia,1989-01-01,0,Jan 1989
Australia,1990-01-01,0,Jan 1990
Australia,1991-01-01,0,Jan 1991
Australia,1992-01-01,0,Jan 1992
Australia,1994-01-01,1,Jan 1994
Australia,1995-01-01,1,Jan 1995
Australia,1999-01-01,2,Jan 1999
Australia,2000-01-01,2,Jan 2000
Australia,2001-01-01,2,Jan 2001
Australia,2002-01-01,2,Jan 2002
Australia,2003-01-01,2,Jan 2003
Australia,2004-01-01,3,Jan 2004
Australia,2005-01-01,3,Jan 2005
Australia,2006-01-01,4,Jan 2006
Australia,2007-01-01,5,Jan 2007
Australia,2008-01-01,5,Jan 2008
Australia,2009-01-01,5,Jan 2009
Australia,2010-01-01,5,Jan 2010
Australia,2011-01-01,6,Jan 2011
Australia,2011-07-01,6,Jul 2011
Australia,2012-01-01,6,Jan 2012
Australia,2012-07-01,6,Jul 2012
Australia,2013-01-01,6,Jan 2013
Australia,2014-01-01,12,Jan 2014
Australia,2015-01-01,13,Jan 2015
Australia,2016-01-01,15,Jan 2016
Australia,2016-07-01,15,Jul 2016
Australia,2017-01-01,23,Jan 2017
Australia,2017-12-01,24,Dec 2017
Australia,2018-06-01,25,Jun 2018
Australia,2018-12-01,25,Dec 2018
Australia,2019-06-01,26,Jun 2019
