country,mode,values
USA,Business Intelligence Tools (like Tableau),1.0
Tanzania,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
Greece,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
Australia,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
Vietnam,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
Vietnam,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),0.0
Spain,Business Intelligence Tools (like Tableau),1.0
Canada,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
Not specified,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
El Salvador,Business Intelligence Tools (like Tableau),0.0
United Kingdom,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
Chile,Business Intelligence Tools (like Tableau),1.0
Sweden,Business Intelligence Tools (like Tableau),1.0
India,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
United Kingdom,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
United Kingdom,Business Intelligence Tools (like Tableau),1.0
United Kingdom,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
Argentina,Business Intelligence Tools (like Tableau),1.0
Greece,Business Intelligence Tools (like Tableau),0.0
USA,Business Intelligence Tools (like Tableau),1.0
USA,Business Intelligence Tools (like Tableau),1.0
