category,country,pct,sum,year,group
donor,Australia,0.9611905954395813,46285863.0,1973,1973-1977
donor,Belgium,0.8151088167382571,39251336.0,1973,1973-1977
donor,Canada,9.094195467589083,437928427.0,1973,1973-1977
donor,France,5.133236374071607,247189555.0,1973,1973-1977
donor,Germany,11.675540757495984,562232384.0,1973,1973-1977
donor,Italy,3.4621543343211,166719069.0,1973,1973-1977
donor,Japan,19.498938008234834,938965880.0,1973,1973-1977
donor,Netherlands,3.3797506969440008,162750945.0,1973,1973-1977
donor,Norway,0.7449913272746902,35874848.0,1973,1973-1977
donor,Sweden,3.4964227515249893,168369255.0,1973,1973-1977
donor,Switzerland,0.2919950796257341,14060941.0,1973,1973-1977
donor,United Kingdom,9.190775036517673,442579189.0,1973,1973-1977
donor,United States,32.25570075422247,1553264205.0,1973,1973-1977
donor,Czech Republic,,0.0,1973,1973-1977
donor,Lithuania,,0.0,1973,1973-1977
donor,Poland,,0.0,1973,1973-1977
donor,Cyprus,,0.0,1973,1973-1977
donor,Denmark,,0.0,1973,1973-1977
donor,Colombia,,0.0,1973,1973-1977
donor,New Zealand,,0.0,1973,1973-1977
donor,Chile,,0.0,1973,1973-1977
donor,Monaco,,0.0,1973,1973-1977
donor,Korea,,0.0,1973,1973-1977
donor,Kuwait,,0.0,1973,1973-1977
donor,Saudi Arabia,,0.0,1973,1973-1977
donor,Portugal,,0.0,1973,1973-1977
donor,South Africa,,0.0,1973,1973-1977
donor,Greece,,0.0,1973,1973-1977
donor,India,,0.0,1973,1973-1977
donor,Taiwan,,0.0,1973,1973-1977
donor,Latvia,,0.0,1973,1973-1977
donor,Ireland,,0.0,1973,1973-1977
donor,Luxembourg,,0.0,1973,1973-1977
donor,Slovenia,,0.0,1973,1973-1977
donor,Liechtenstein,,0.0,1973,1973-1977
donor,Finland,,0.0,1973,1973-1977
donor,Romania,,0.0,1973,1973-1977
donor,Estonia,,0.0,1973,1973-1977
donor,Spain,,0.0,1973,1973-1977
donor,Hungary,,0.0,1973,1973-1977
donor,Austria,,0.0,1973,1973-1977
donor,Qatar,,0.0,1973,1973-1977
donor,Iceland,,0.0,1973,1973-1977
donor,Slovak Republic,,0.0,1973,1973-1977
donor,Brazil,,0.0,1973,1973-1977
donor,Thailand,,0.0,1973,1973-1977
donor,United Arab Emirates,,0.0,1973,1973-1977
donor,All,,4815471897.0,1973,1973-1977
donor,Australia,0.3960197178545812,26950877.0,1974,1973-1977
donor,Austria,0.3545154394584933,24126329.0,1974,1973-1977
donor,Belgium,0.6404965701723458,43588598.0,1974,1973-1977
donor,Canada,1.006579685091136,68502158.0,1974,1973-1977
donor,Denmark,0.8352039158048863,56839286.0,1974,1973-1977
donor,France,5.398398359702383,367384662.0,1974,1973-1977
donor,Germany,10.258973406056194,698168091.0,1974,1973-1977
donor,Japan,40.117950715461355,2730202327.0,1974,1973-1977
donor,Netherlands,4.753086934229081,323468392.0,1974,1973-1977
donor,Norway,1.3942896955219706,94887523.0,1974,1973-1977
donor,Sweden,0.4452223249648925,30299330.0,1974,1973-1977
donor,Switzerland,0.9484992366751592,64549529.0,1974,1973-1977
donor,United Kingdom,20.65082044621797,1405378815.0,1974,1973-1977
donor,United States,12.799943552789554,871092243.0,1974,1973-1977
donor,Czech Republic,,0.0,1974,1973-1977
donor,Lithuania,,0.0,1974,1973-1977
donor,Poland,,0.0,1974,1973-1977
donor,Cyprus,,0.0,1974,1973-1977
donor,Colombia,,0.0,1974,1973-1977
donor,New Zealand,,0.0,1974,1973-1977
donor,Chile,,0.0,1974,1973-1977
donor,Monaco,,0.0,1974,1973-1977
donor,Korea,,0.0,1974,1973-1977
donor,Kuwait,,0.0,1974,1973-1977
donor,Saudi Arabia,,0.0,1974,1973-1977
donor,Portugal,,0.0,1974,1973-1977
donor,South Africa,,0.0,1974,1973-1977
donor,Greece,,0.0,1974,1973-1977
donor,India,,0.0,1974,1973-1977
donor,Taiwan,,0.0,1974,1973-1977
donor,Latvia,,0.0,1974,1973-1977
donor,Ireland,,0.0,1974,1973-1977
donor,Luxembourg,,0.0,1974,1973-1977
donor,Slovenia,,0.0,1974,1973-1977
donor,Liechtenstein,,0.0,1974,1973-1977
donor,Finland,,0.0,1974,1973-1977
donor,Romania,,0.0,1974,1973-1977
donor,Estonia,,0.0,1974,1973-1977
donor,Spain,,0.0,1974,1973-1977
donor,Hungary,,0.0,1974,1973-1977
donor,Qatar,,0.0,1974,1973-1977
donor,Iceland,,0.0,1974,1973-1977
donor,Slovak Republic,,0.0,1974,1973-1977
donor,Brazil,,0.0,1974,1973-1977
donor,Italy,,0.0,1974,1973-1977
donor,Thailand,,0.0,1974,1973-1977
donor,United Arab Emirates,,0.0,1974,1973-1977
donor,All,,6805438160.0,1974,1973-1977
donor,Australia,1.827482752059695,77691781.0,1975,1973-1977
donor,Belgium,0.9141510506819353,38863307.0,1975,1973-1977
donor,Canada,2.1882170842706183,93027681.0,1975,1973-1977
donor,Denmark,0.24445593337362798,10392556.0,1975,1973-1977
donor,France,4.526073254146472,192416969.0,1975,1973-1977
donor,Germany,19.614232244897813,833859928.0,1975,1973-1977
donor,Japan,31.497178756155495,1339039677.0,1975,1973-1977
donor,Netherlands,3.074550622730993,130708382.0,1975,1973-1977
donor,Norway,1.5189550815013337,64575343.0,1975,1973-1977
donor,Sweden,4.729366817240439,201059589.0,1975,1973-1977
donor,Switzerland,2.4276044037791666,103204755.0,1975,1973-1977
donor,United Kingdom,5.22635127284596,222187891.0,1975,1973-1977
donor,United States,22.211380726316452,944272511.0,1975,1973-1977
donor,Czech Republic,,0.0,1975,1973-1977
donor,Lithuania,,0.0,1975,1973-1977
donor,Poland,,0.0,1975,1973-1977
donor,Cyprus,,0.0,1975,1973-1977
donor,Colombia,,0.0,1975,1973-1977
donor,New Zealand,,0.0,1975,1973-1977
donor,Chile,,0.0,1975,1973-1977
donor,Monaco,,0.0,1975,1973-1977
donor,Korea,,0.0,1975,1973-1977
donor,Kuwait,,0.0,1975,1973-1977
donor,Saudi Arabia,,0.0,1975,1973-1977
donor,Portugal,,0.0,1975,1973-1977
donor,South Africa,,0.0,1975,1973-1977
donor,Greece,,0.0,1975,1973-1977
donor,India,,0.0,1975,1973-1977
donor,Taiwan,,0.0,1975,1973-1977
donor,Latvia,,0.0,1975,1973-1977
donor,Ireland,,0.0,1975,1973-1977
donor,Luxembourg,,0.0,1975,1973-1977
donor,Slovenia,,0.0,1975,1973-1977
donor,Liechtenstein,,0.0,1975,1973-1977
donor,Finland,,0.0,1975,1973-1977
donor,Romania,,0.0,1975,1973-1977
donor,Estonia,,0.0,1975,1973-1977
donor,Spain,,0.0,1975,1973-1977
donor,Hungary,,0.0,1975,1973-1977
donor,Austria,,0.0,1975,1973-1977
donor,Qatar,,0.0,1975,1973-1977
donor,Iceland,,0.0,1975,1973-1977
donor,Slovak Republic,,0.0,1975,1973-1977
donor,Brazil,,0.0,1975,1973-1977
donor,Italy,,0.0,1975,1973-1977
donor,Thailand,,0.0,1975,1973-1977
donor,United Arab Emirates,,0.0,1975,1973-1977
donor,All,,4251300370.0,1975,1973-1977
donor,Australia,0.7499847534421122,27718070.0,1976,1973-1977
donor,Austria,0.3512578192308386,12981849.0,1976,1973-1977
donor,Belgium,0.9775000006642643,36126619.0,1976,1973-1977
donor,Canada,3.146457113305995,116287322.0,1976,1973-1977
donor,Denmark,0.7805952180762781,28849377.0,1976,1973-1977
donor,France,4.969358151242931,183658423.0,1976,1973-1977
donor,Germany,17.315889715838203,639963734.0,1976,1973-1977
donor,Italy,0.9632906962909755,35601469.0,1976,1973-1977
donor,Japan,20.62246181108953,762168614.0,1976,1973-1977
donor,Kuwait,5.587255900757476,206494798.0,1976,1973-1977
donor,Netherlands,11.535989686253467,426349160.0,1976,1973-1977
donor,Norway,0.28192087839499064,10419282.0,1976,1973-1977
donor,Sweden,4.107519425934644,151806434.0,1976,1973-1977
donor,Switzerland,1.1790972764832168,43577287.0,1976,1973-1977
donor,United Arab Emirates,1.7563513557169141,64911546.0,1976,1973-1977
donor,United Kingdom,1.3965397868891372,51613566.0,1976,1973-1977
donor,United States,24.278530410389024,897290248.0,1976,1973-1977
donor,Czech Republic,,0.0,1976,1973-1977
donor,Lithuania,,0.0,1976,1973-1977
donor,Poland,,0.0,1976,1973-1977
donor,Cyprus,,0.0,1976,1973-1977
donor,Colombia,,0.0,1976,1973-1977
donor,New Zealand,,0.0,1976,1973-1977
donor,Chile,,0.0,1976,1973-1977
donor,Monaco,,0.0,1976,1973-1977
donor,Korea,,0.0,1976,1973-1977
donor,Saudi Arabia,,0.0,1976,1973-1977
donor,Portugal,,0.0,1976,1973-1977
donor,South Africa,,0.0,1976,1973-1977
donor,Greece,,0.0,1976,1973-1977
donor,India,,0.0,1976,1973-1977
donor,Taiwan,,0.0,1976,1973-1977
donor,Latvia,,0.0,1976,1973-1977
donor,Ireland,,0.0,1976,1973-1977
donor,Luxembourg,,0.0,1976,1973-1977
donor,Slovenia,,0.0,1976,1973-1977
donor,Liechtenstein,,0.0,1976,1973-1977
donor,Finland,,0.0,1976,1973-1977
donor,Romania,,0.0,1976,1973-1977
donor,Estonia,,0.0,1976,1973-1977
donor,Spain,,0.0,1976,1973-1977
donor,Hungary,,0.0,1976,1973-1977
donor,Qatar,,0.0,1976,1973-1977
donor,Iceland,,0.0,1976,1973-1977
donor,Slovak Republic,,0.0,1976,1973-1977
donor,Brazil,,0.0,1976,1973-1977
donor,Thailand,,0.0,1976,1973-1977
donor,All,,3695817798.0,1976,1973-1977
donor,Australia,1.4741897131105264,72648152.0,1977,1973-1977
donor,Austria,0.052936729338060214,2608725.0,1977,1973-1977
donor,Belgium,0.7275535322207443,35853879.0,1977,1973-1977
donor,Canada,0.7905384237887232,38957778.0,1977,1973-1977
donor,Denmark,2.2776271481472534,112241594.0,1977,1973-1977
donor,France,3.4273513428817663,168900067.0,1977,1973-1977
donor,Germany,12.523298527581673,617148856.0,1977,1973-1977
donor,Japan,30.014513907943336,1479116934.0,1977,1973-1977
donor,Kuwait,1.7581709838737916,86642765.0,1977,1973-1977
donor,Netherlands,7.153301330261103,352515092.0,1977,1973-1977
donor,Norway,1.2202423163386218,60133610.0,1977,1973-1977
donor,Saudi Arabia,10.965196937865672,540365522.0,1977,1973-1977
donor,Sweden,2.9112843184079598,143468255.0,1977,1973-1977
donor,Switzerland,2.25638328035464,111194695.0,1977,1973-1977
donor,United Kingdom,17.451508911893438,860011341.0,1977,1973-1977
donor,United States,4.9959025959926935,246198361.0,1977,1973-1977
donor,Czech Republic,,0.0,1977,1973-1977
donor,Lithuania,,0.0,1977,1973-1977
donor,Poland,,0.0,1977,1973-1977
donor,Cyprus,,0.0,1977,1973-1977
donor,Colombia,,0.0,1977,1973-1977
donor,New Zealand,,0.0,1977,1973-1977
donor,Chile,,0.0,1977,1973-1977
donor,Monaco,,0.0,1977,1973-1977
