country,category,group,value,gdp
Australia,perc,1973-1977,1.0,6694.603362000681
Australia,perc,1978-1982,0.6248622531331366,10463.681933581578
Australia,perc,1983-1987,1.0,11675.422503701362
Australia,perc,1988-1992,0.8457329769598395,17530.92247835076
Australia,perc,1993-1997,0.5371506479602679,20265.879236505898
Australia,perc,1998-2002,0.674343327384152,20620.91829015174
Australia,perc,2003-2007,1.0,32976.38552027358
Australia,perc,2008-2013,1.0,57179.37169332007
Austria,perc,1973-1977,0.6,5259.2229508411965
Austria,perc,1978-1982,0.6037061361383825,9532.875380157144
Austria,perc,1983-1987,0.8,11435.282307957934
Austria,perc,1988-1992,1.0,20803.92612487062
Austria,perc,1993-1997,0.8118259364224831,27313.726684248762
Austria,perc,1998-2002,0.6956038734935865,26007.978056177122
Austria,perc,2003-2007,0.9985762858847866,38987.72122948564
Austria,perc,2008-2013,1.0,49531.55847154483
Belgium,perc,1973-1977,1.0,6636.561252204779
Belgium,perc,1978-1982,0.5258549772050356,11045.016743575212
Belgium,perc,1983-1987,0.4,10729.167912064753
Belgium,perc,1988-1992,0.6,19691.002366557597
Belgium,perc,1993-1997,1.0,25607.38430951014
Belgium,perc,1998-2002,1.0,24473.432085358123
Belgium,perc,2003-2007,1.0,37311.39813308516
Belgium,perc,2008-2013,1.0,46155.989202798315
Brazil,perc,1973-1977,0.0,1178.1680652969276
Brazil,perc,1978-1982,0.0,1991.9343528597801
Brazil,perc,1983-1987,0.0,1765.269396653696
Brazil,perc,1988-1992,0.0,2976.29268710461
Brazil,perc,1993-1997,0.0,4297.641743062486
Brazil,perc,1998-2002,0.0,3660.2720222021244
Brazil,perc,2003-2007,2.3967641550372908e-05,4946.660869915504
Brazil,perc,2008-2013,0.00019265860915007984,11105.190631138963
Canada,perc,1973-1977,1.0,7622.241077884512
Canada,perc,1978-1982,0.5450846535116382,11031.451454637741
Canada,perc,1983-1987,0.963754095753752,14437.57670607586
Canada,perc,1988-1992,0.9959893672058795,20749.82983399026
Canada,perc,1993-1997,0.9212147250574916,20745.382314008082
Canada,perc,1998-2002,0.8583661304411988,23057.689814681064
Canada,perc,2003-2007,1.0,36286.0127866286
Canada,perc,2008-2013,0.9998782323650935,48661.104901331484
Chile,perc,1973-1977,0.0,1230.753928175725
Chile,perc,1978-1982,0.0,2211.61900611324
Chile,perc,1983-1987,0.0,1611.304390059358
Chile,perc,1988-1992,0.0,2592.739018026254
Chile,perc,1993-1997,0.0,4752.369051240178
Chile,perc,1998-2002,0.0001981343246230038,4900.02100918863
Chile,perc,2003-2007,0.0008865838838272852,7706.569162180688
Chile,perc,2008-2013,0.00018013955087336475,13266.692112394752
Colombia,perc,1973-1977,0.0,583.0049615415394
Colombia,perc,1978-1982,0.0,1183.509602724979
Colombia,perc,1983-1987,0.0,1225.389040834606
Colombia,perc,1988-1992,0.0,1409.9144780204758
Colombia,perc,1993-1997,0.0,2433.242437918464
Colombia,perc,1998-2002,0.0,2426.54910617493
Colombia,perc,2003-2007,1.935753608156979e-05,3380.519364998586
Colombia,perc,2008-2013,1.6684792579200412e-05,6760.550742490644
Cyprus,perc,1973-1977,0.0,1203.3391451961334
