category,country,pct,sum,year,group,value
donor,Australia,0.9611905954395813,46285863.0,1973,1973-1977,63738629083.9206
donor,Belgium,0.8151088167382571,39251336.0,1973,1973-1977,47999363071.8278
donor,Canada,9.094195467589083,437928427.0,1973,1973-1977,131321859214.07901
donor,France,5.133236374071607,247189555.0,1973,1973-1977,264429876252.21
donor,Germany,11.675540757495984,562232384.0,1973,1973-1977,396866742553.97
donor,Italy,3.4621543343211,166719069.0,1973,1973-1977,174913182331.451
donor,Japan,19.498938008234834,938965880.0,1973,1973-1977,432082670451.08704
donor,Netherlands,3.3797506969440008,162750945.0,1973,1973-1977,71840910058.332
donor,Norway,0.7449913272746902,35874848.0,1973,1973-1977,22534253702.8686
donor,Sweden,3.4964227515249893,168369255.0,1973,1973-1977,58632899709.2025
donor,Switzerland,0.2919950796257341,14060941.0,1973,1973-1977,48114943566.7341
donor,United Kingdom,9.190775036517673,442579189.0,1973,1973-1977,192537971582.558
donor,United States,32.25570075422247,1553264205.0,1973,1973-1977,1425376000000.0
donor,South Africa,,0.0,1973,1973-1977,29293948126.8012
donor,Saudi Arabia,,0.0,1973,1973-1977,14947391140.1284
donor,Hungary,,0.0,1973,1973-1977,
donor,Liechtenstein,,0.0,1973,1973-1977,165930611.729019
donor,Denmark,,0.0,1973,1973-1977,30730638895.7765
donor,Iceland,,0.0,1973,1973-1977,1156175524.24276
donor,Lithuania,,0.0,1973,1973-1977,
donor,Colombia,,0.0,1973,1973-1977,10315760000.3394
donor,Portugal,,0.0,1973,1973-1977,15092052330.3352
donor,Poland,,0.0,1973,1973-1977,
donor,Greece,,0.0,1973,1973-1977,22347844649.0219
donor,New Zealand,,0.0,1973,1973-1977,12802281897.8712
donor,Czech Republic,,0.0,1973,1973-1977,
donor,Thailand,,0.0,1973,1973-1977,10838587357.7466
donor,Romania,,0.0,1973,1973-1977,
donor,Slovenia,,0.0,1973,1973-1977,
donor,Brazil,,0.0,1973,1973-1977,79279057730.82901
donor,Slovak Republic,,0.0,1973,1973-1977,
donor,Kuwait,,0.0,1973,1973-1977,5408293998.65138
donor,Korea,,0.0,1973,1973-1977,13841885920.8676
donor,Qatar,,0.0,1973,1973-1977,793884368.040437
donor,Estonia,,0.0,1973,1973-1977,
donor,Monaco,,0.0,1973,1973-1977,523552815.119127
donor,Austria,,0.0,1973,1973-1977,29515467987.912003
donor,Ireland,,0.0,1973,1973-1977,7490132355.778509
donor,Chile,,0.0,1973,1973-1977,16836261173.1844
donor,Latvia,,0.0,1973,1973-1977,
donor,Cyprus,,0.0,1973,1973-1977,
donor,Luxembourg,,0.0,1973,1973-1977,2701874663.63072
donor,United Arab Emirates,,0.0,1973,1973-1977,
donor,Finland,,0.0,1973,1973-1977,19486826979.9284
donor,Spain,,0.0,1973,1973-1977,78425934894.3461
donor,India,,0.0,1973,1973-1977,85515271632.0276
donor,Australia,0.3960197178545812,26950877.0,1974,1973-1977,88831245394.252
donor,Austria,0.3545154394584933,24126329.0,1974,1973-1977,35189299985.2768
donor,Belgium,0.6404965701723458,43588598.0,1974,1973-1977,56333010459.8177
donor,Canada,1.006579685091136,68502158.0,1974,1973-1977,160408697648.262
donor,Denmark,0.8352039158048863,56839286.0,1974,1973-1977,34160363582.6675
donor,France,5.398398359702383,367384662.0,1974,1973-1977,285552373158.75604
donor,Germany,10.258973406056194,698168091.0,1974,1973-1977,443618642959.716
donor,Japan,40.117950715461355,2730202327.0,1974,1973-1977,479625998614.775
donor,Netherlands,4.753086934229081,323468392.0,1974,1973-1977,87243413476.5145
donor,Norway,1.3942896955219706,94887523.0,1974,1973-1977,27145693810.1341
donor,Sweden,0.4452223249648925,30299330.0,1974,1973-1977,65155385097.0852
donor,Switzerland,0.9484992366751592,64549529.0,1974,1973-1977,55449199174.3027
donor,United Kingdom,20.65082044621797,1405378815.0,1974,1973-1977,206131369798.971
donor,United States,12.799943552789554,871092243.0,1974,1973-1977,1545243000000.0
donor,South Africa,,0.0,1974,1973-1977,36806475349.5217
donor,Saudi Arabia,,0.0,1974,1973-1977,45412957746.4789
donor,Hungary,,0.0,1974,1973-1977,
donor,Liechtenstein,,0.0,1974,1973-1977,193983720.461869
donor,Iceland,,0.0,1974,1973-1977,1517467733.86693
donor,Lithuania,,0.0,1974,1973-1977,
