sum,category,donor,recipient
48830067295.0,recipient,Japan,India
35437690727.0,recipient,Japan,Thailand
19921976117.0,recipient,United Kingdom,India
18017983208.0,recipient,Germany,India
17230746024.0,recipient,Germany,Poland
17104240812.0,recipient,United States,Colombia
16529832819.0,recipient,United States,India
13548341140.0,recipient,United States,Brazil
13029452754.0,recipient,Japan,Korea
11154361995.0,recipient,United States,Korea
10406029105.0,recipient,Japan,Brazil
7727422143.0,recipient,United States,Kuwait
6977708986.0,recipient,Netherlands,India
6678780430.0,recipient,United States,South Africa
6495636611.0,recipient,United States,Thailand
4440013519.0,recipient,United States,Saudi Arabia
4139074370.0,recipient,France,India
4068597498.0,recipient,United States,Canada
4063216247.0,recipient,Germany,Brazil
3827796549.0,recipient,Sweden,India
3690681030.0,recipient,United States,Chile
3659444746.0,recipient,Canada,India
3297628513.0,recipient,France,Brazil
2831031587.0,recipient,United States,Taiwan
2572618261.0,recipient,United States,Australia
2508547257.0,recipient,United States,Poland
2400034449.0,recipient,United States,Italy
2147933250.0,recipient,Norway,India
2080977585.0,recipient,United States,Japan
2005432347.0,recipient,France,Poland
2004368952.0,recipient,Denmark,India
1901701859.0,recipient,France,South Africa
1862114265.0,recipient,United Kingdom,South Africa
1843859410.0,recipient,Italy,Brazil
1839499003.0,recipient,Switzerland,India
1784147995.0,recipient,Germany,South Africa
1765304543.0,recipient,United States,Hungary
1702275036.0,recipient,Germany,Thailand
1686279765.0,recipient,United States,Romania
1680107102.0,recipient,France,Colombia
1416545325.0,recipient,Sweden,South Africa
1414487282.0,recipient,Japan,Colombia
1365472828.0,recipient,Germany,Chile
1307586093.0,recipient,Canada,Poland
1250055625.0,recipient,United States,Czech Republic
1238911524.0,recipient,Germany,Colombia
1237117872.0,recipient,Italy,India
1176312073.0,recipient,Japan,South Africa
1162746092.0,recipient,Australia,Thailand
1070847764.0,recipient,Norway,Brazil
1066811913.0,recipient,Spain,Colombia
1049660923.0,recipient,France,Thailand
982075862.0,recipient,Australia,India
957343964.0,recipient,United States,United Kingdom
934638729.0,recipient,United States,Ireland
