group,country,value,index
1973-1977,Monaco,,1973-1977-Monaco
1973-1977,Liechtenstein,,1973-1977-Liechtenstein
1973-1977,Luxembourg,,1973-1977-Luxembourg
1973-1977,Norway,,1973-1977-Norway
1973-1977,Switzerland,,1973-1977-Switzerland
1973-1977,Qatar,,1973-1977-Qatar
1973-1977,Australia,,1973-1977-Australia
1973-1977,Denmark,,1973-1977-Denmark
1973-1977,Sweden,,1973-1977-Sweden
1973-1977,United States,,1973-1977-United States
1973-1977,Canada,,1973-1977-Canada
1973-1977,Netherlands,,1973-1977-Netherlands
1973-1977,Ireland,,1973-1977-Ireland
1973-1977,Austria,,1973-1977-Austria
1973-1977,Finland,,1973-1977-Finland
1973-1977,Iceland,,1973-1977-Iceland
1973-1977,Kuwait,,1973-1977-Kuwait
1973-1977,Belgium,,1973-1977-Belgium
1973-1977,Germany,,1973-1977-Germany
1973-1977,New Zealand,,1973-1977-New Zealand
1973-1977,United Kingdom,,1973-1977-United Kingdom
1973-1977,France,,1973-1977-France
1973-1977,United Arab Emirates,,1973-1977-United Arab Emirates
1973-1977,Japan,,1973-1977-Japan
1973-1977,Italy,,1973-1977-Italy
1973-1977,Spain,,1973-1977-Spain
1973-1977,Cyprus,,1973-1977-Cyprus
1973-1977,Korea,,1973-1977-Korea
1973-1977,Saudi Arabia,,1973-1977-Saudi Arabia
1973-1977,Slovenia,,1973-1977-Slovenia
1973-1977,Greece,,1973-1977-Greece
1973-1977,Portugal,,1973-1977-Portugal
1973-1977,Czech Republic,,1973-1977-Czech Republic
1973-1977,Estonia,,1973-1977-Estonia
1973-1977,Slovak Republic,,1973-1977-Slovak Republic
1973-1977,Chile,,1973-1977-Chile
1973-1977,Lithuania,,1973-1977-Lithuania
1973-1977,Latvia,,1973-1977-Latvia
1973-1977,Poland,,1973-1977-Poland
1973-1977,Hungary,,1973-1977-Hungary
1973-1977,Brazil,,1973-1977-Brazil
1973-1977,Romania,,1973-1977-Romania
1973-1977,Colombia,,1973-1977-Colombia
1973-1977,South Africa,,1973-1977-South Africa
1973-1977,Thailand,,1973-1977-Thailand
1973-1977,India,,1973-1977-India
1973-1977,Taiwan,,1973-1977-Taiwan
1978-1982,Monaco,,1978-1982-Monaco
1978-1982,Liechtenstein,NA,1978-1982-Liechtenstein
1978-1982,Luxembourg,,1978-1982-Luxembourg
1978-1982,Norway,0.8468841806317895,1978-1982-Norway
1978-1982,Switzerland,-0.4192761431957811,1978-1982-Switzerland
1978-1982,Qatar,,1978-1982-Qatar
1978-1982,Australia,-0.5645937885775828,1978-1982-Australia
1978-1982,Denmark,1.2677688352835363,1978-1982-Denmark
1978-1982,Sweden,0.4905499058354239,1978-1982-Sweden
1978-1982,United States,3.345492029298116,1978-1982-United States
1978-1982,Canada,0.26530422682651733,1978-1982-Canada
1978-1982,Netherlands,-0.21139115579566548,1978-1982-Netherlands
1978-1982,Ireland,,1978-1982-Ireland
1978-1982,Austria,1.1641682887510134,1978-1982-Austria
1978-1982,Finland,,1978-1982-Finland
1978-1982,Iceland,,1978-1982-Iceland
1978-1982,Kuwait,1.2738096686708142,1978-1982-Kuwait
1978-1982,Belgium,-0.35508970115451965,1978-1982-Belgium
1978-1982,Germany,0.031762799372776485,1978-1982-Germany
1978-1982,New Zealand,NA,1978-1982-New Zealand
1978-1982,United Kingdom,-0.219736808261898,1978-1982-United Kingdom
1978-1982,France,0.04076714346820287,1978-1982-France
1978-1982,United Arab Emirates,-1.0,1978-1982-United Arab Emirates
1978-1982,Japan,0.19691736731543785,1978-1982-Japan
1978-1982,Italy,-1.0,1978-1982-Italy
1978-1982,Spain,,1978-1982-Spain
1978-1982,Cyprus,,1978-1982-Cyprus
1978-1982,Korea,,1978-1982-Korea
1978-1982,Saudi Arabia,-0.08361916177176087,1978-1982-Saudi Arabia
1978-1982,Slovenia,,1978-1982-Slovenia
1978-1982,Greece,,1978-1982-Greece
1978-1982,Portugal,,1978-1982-Portugal
1978-1982,Czech Republic,,1978-1982-Czech Republic
1978-1982,Estonia,,1978-1982-Estonia
1978-1982,Slovak Republic,,1978-1982-Slovak Republic
1978-1982,Chile,,1978-1982-Chile
1978-1982,Lithuania,,1978-1982-Lithuania
1978-1982,Latvia,,1978-1982-Latvia
1978-1982,Poland,,1978-1982-Poland
1978-1982,Hungary,,1978-1982-Hungary
1978-1982,Brazil,,1978-1982-Brazil
1978-1982,Romania,,1978-1982-Romania
1978-1982,Colombia,,1978-1982-Colombia
1978-1982,South Africa,,1978-1982-South Africa
1978-1982,Thailand,,1978-1982-Thailand
1978-1982,India,,1978-1982-India
1978-1982,Taiwan,,1978-1982-Taiwan
1983-1987,Monaco,,1983-1987-Monaco
1983-1987,Liechtenstein,-0.9322188934934122,1983-1987-Liechtenstein
1983-1987,Luxembourg,,1983-1987-Luxembourg
1983-1987,Norway,-0.09974659088442761,1983-1987-Norway
1983-1987,Switzerland,1.468080370575851,1983-1987-Switzerland
1983-1987,Qatar,,1983-1987-Qatar
1983-1987,Australia,-0.4374096904114646,1983-1987-Australia
1983-1987,Denmark,0.3336065848580354,1983-1987-Denmark
1983-1987,Sweden,-0.35861734789114263,1983-1987-Sweden
1983-1987,United States,-0.5143203890284622,1983-1987-United States
1983-1987,Canada,0.7898024988882975,1983-1987-Canada
1983-1987,Netherlands,0.38718796496620644,1983-1987-Netherlands
1983-1987,Ireland,,1983-1987-Ireland
1983-1987,Austria,0.40147814073056853,1983-1987-Austria
1983-1987,Finland,NA,1983-1987-Finland
1983-1987,Iceland,,1983-1987-Iceland
1983-1987,Kuwait,-0.6006392543932443,1983-1987-Kuwait
1983-1987,Belgium,-0.5962236414746593,1983-1987-Belgium
1983-1987,Germany,0.2616423280235951,1983-1987-Germany
1983-1987,New Zealand,2.8099170871923973,1983-1987-New Zealand
1983-1987,United Kingdom,0.024584315220907982,1983-1987-United Kingdom
1983-1987,France,0.07274724931001453,1983-1987-France
1983-1987,United Arab Emirates,,1983-1987-United Arab Emirates
1983-1987,Japan,0.14834745427474605,1983-1987-Japan
1983-1987,Italy,NA,1983-1987-Italy
1983-1987,Spain,,1983-1987-Spain
1983-1987,Cyprus,,1983-1987-Cyprus
1983-1987,Korea,,1983-1987-Korea
1983-1987,Saudi Arabia,0.33863189231096924,1983-1987-Saudi Arabia
1983-1987,Slovenia,,1983-1987-Slovenia
1983-1987,Greece,,1983-1987-Greece
1983-1987,Portugal,,1983-1987-Portugal
1983-1987,Czech Republic,,1983-1987-Czech Republic
1983-1987,Estonia,,1983-1987-Estonia
1983-1987,Slovak Republic,,1983-1987-Slovak Republic
1983-1987,Chile,,1983-1987-Chile
1983-1987,Lithuania,,1983-1987-Lithuania
1983-1987,Latvia,,1983-1987-Latvia
1983-1987,Poland,,1983-1987-Poland
1983-1987,Hungary,,1983-1987-Hungary
1983-1987,Brazil,,1983-1987-Brazil
1983-1987,Romania,,1983-1987-Romania
1983-1987,Colombia,,1983-1987-Colombia
1983-1987,South Africa,,1983-1987-South Africa
1983-1987,Thailand,,1983-1987-Thailand
1983-1987,India,,1983-1987-India
1983-1987,Taiwan,,1983-1987-Taiwan
1988-1992,Monaco,,1988-1992-Monaco
1988-1992,Liechtenstein,3.915426187541481,1988-1992-Liechtenstein
1988-1992,Luxembourg,,1988-1992-Luxembourg
1988-1992,Norway,-0.5609609206049818,1988-1992-Norway
1988-1992,Switzerland,-0.1272211724219776,1988-1992-Switzerland
1988-1992,Qatar,,1988-1992-Qatar
1988-1992,Australia,12.551032529201914,1988-1992-Australia
1988-1992,Denmark,-0.3127577641484085,1988-1992-Denmark
1988-1992,Sweden,1.9769283288030635,1988-1992-Sweden
1988-1992,United States,0.9032922793965066,1988-1992-United States
1988-1992,Canada,-0.6054737065575653,1988-1992-Canada
1988-1992,Netherlands,-0.04284299044354578,1988-1992-Netherlands
1988-1992,Ireland,,1988-1992-Ireland
1988-1992,Austria,-0.3897546360787961,1988-1992-Austria
1988-1992,Finland,23.342996521756174,1988-1992-Finland
1988-1992,Iceland,,1988-1992-Iceland
1988-1992,Kuwait,-0.6467074725803821,1988-1992-Kuwait
1988-1992,Belgium,15.688294028242797,1988-1992-Belgium
1988-1992,Germany,2.6758652938987577,1988-1992-Germany
1988-1992,New Zealand,-1.0,1988-1992-New Zealand
1988-1992,United Kingdom,-0.1836695689007528,1988-1992-United Kingdom
1988-1992,France,0.2572350726402972,1988-1992-France
1988-1992,United Arab Emirates,,1988-1992-United Arab Emirates
1988-1992,Japan,0.4126048018940358,1988-1992-Japan
1988-1992,Italy,-0.1062204371348987,1988-1992-Italy
1988-1992,Spain,NA,1988-1992-Spain
1988-1992,Cyprus,,1988-1992-Cyprus
1988-1992,Korea,,1988-1992-Korea
1988-1992,Saudi Arabia,-1.0,1988-1992-Saudi Arabia
1988-1992,Slovenia,,1988-1992-Slovenia
1988-1992,Greece,,1988-1992-Greece
1988-1992,Portugal,,1988-1992-Portugal
1988-1992,Czech Republic,,1988-1992-Czech Republic
1988-1992,Estonia,,1988-1992-Estonia
1988-1992,Slovak Republic,,1988-1992-Slovak Republic
1988-1992,Chile,,1988-1992-Chile
1988-1992,Lithuania,,1988-1992-Lithuania
1988-1992,Latvia,,1988-1992-Latvia
1988-1992,Poland,,1988-1992-Poland
1988-1992,Hungary,,1988-1992-Hungary
1988-1992,Brazil,,1988-1992-Brazil
1988-1992,Romania,,1988-1992-Romania
1988-1992,Colombia,,1988-1992-Colombia
1988-1992,South Africa,,1988-1992-South Africa
1988-1992,Thailand,,1988-1992-Thailand
1988-1992,India,,1988-1992-India
1988-1992,Taiwan,,1988-1992-Taiwan
1993-1997,Monaco,,1993-1997-Monaco
1993-1997,Liechtenstein,0.4691440181573856,1993-1997-Liechtenstein
1993-1997,Luxembourg,,1993-1997-Luxembourg
1993-1997,Norway,1.1232040128488912,1993-1997-Norway
1993-1997,Switzerland,-0.31785326485613163,1993-1997-Switzerland
1993-1997,Qatar,,1993-1997-Qatar
