group,country,value,index,donor_growth,recipient_growth,category,total
2009-2013,India,-1.0,2009-2013-India,NA,-0.0753504780232579,net,4141385092.8
2009-2013,Thailand,-0.7999925158854493,2009-2013-Thailand,2.7577981651376144,-0.20704502449860518,net,477973734.6
2009-2013,Colombia,-0.799981120711354,2009-2013-Colombia,0.011402259565176154,-0.10728920157306954,net,1041162046.0
2009-2013,South Africa,-1.0,2009-2013-South Africa,NA,0.10062908561936346,net,1100469053.6
2009-2013,Romania,0.0,2009-2013-Romania,NA,NA,net,0.0
2009-2013,Brazil,-0.7998274390713889,2009-2013-Brazil,2.3297603283597033,1.1852917856122223,net,1200698790.2
2009-2013,Latvia,0.0,2009-2013-Latvia,NA,NA,net,0.0
2009-2013,Poland,0.2,2009-2013-Poland,NA,NA,net,80636.8
2009-2013,Hungary,-0.2,2009-2013-Hungary,NA,-0.47979570238807345,net,2826.4
2009-2013,Lithuania,0.0,2009-2013-Lithuania,NA,NA,net,0.0
2009-2013,Chile,-0.5997912982129919,2009-2013-Chile,-0.5762553070469458,0.0753372761536617,net,139187641.0
2009-2013,Estonia,0.0,2009-2013-Estonia,NA,NA,net,0.0
2009-2013,Slovakia,0.6,2009-2013-Slovak Republic,-0.8295431058011058,NA,net,13896.2
2009-2013,Czech Rep.,0.8,2009-2013-Czech Republic,-0.4637699398355136,NA,net,170010.4
2009-2013,Portugal,1.0,2009-2013-Portugal,1.1369927367380375,NA,net,6920702.8
2009-2013,Saudi Arabia,-0.6,2009-2013-Saudi Arabia,NA,-0.9808720091259919,net,192365.8
2009-2013,Korea,1.0,2009-2013-Korea,-0.30484612829934665,NA,net,120795333.4
2009-2013,Slovenia,0.4,2009-2013-Slovenia,NA,NA,net,30005.6
2009-2013,Greece,1.0,2009-2013-Greece,-0.48540197622937553,NA,net,1481016.2
2009-2013,Spain,1.0,2009-2013-Spain,0.015402786617479736,NA,net,115637422.2
2009-2013,Cyprus,0.0,2009-2013-Cyprus,NA,NA,net,0.0
2009-2013,Italy,1.0,2009-2013-Italy,-0.10435751104317792,NA,net,38269283.2
2009-2013,New Zealand,1.0,2009-2013-New Zealand,-0.33098440062665113,NA,net,3104807.4
2009-2013,United Arab Emirates,0.6,2009-2013-United Arab Emirates,NA,NA,net,545088.0
2009-2013,United Kingdom,1.0,2009-2013-United Kingdom,-0.4098598334103811,NA,net,506166688.4
2009-2013,France,1.0,2009-2013-France,1.5432715127296546,NA,net,882726728.0
2009-2013,Germany,1.0,2009-2013-Germany,0.4523244758881866,NA,net,1327944941.0
2009-2013,Iceland,0.4,2009-2013-Iceland,NA,NA,net,34500.2
2009-2013,Belgium,1.0,2009-2013-Belgium,-0.021007245825083065,NA,net,47234027.8
2009-2013,Japan,0.9999927268767784,2009-2013-Japan,-0.05302275868074735,NA,net,3121370231.8
2009-2013,Kuwait,0.0,2009-2013-Kuwait,NA,NA,net,0.0
2009-2013,United States,1.0,2009-2013-United States,-0.14613600700306317,NA,net,1304947955.2
2009-2013,Finland,1.0,2009-2013-Finland,-0.16257117560672796,NA,net,28289748.8
2009-2013,Austria,1.0,2009-2013-Austria,-0.30445609364367243,NA,net,7715926.6
2009-2013,Ireland,1.0,2009-2013-Ireland,-0.4756066812328923,NA,net,15830137.6
2009-2013,Canada,1.0,2009-2013-Canada,-0.0822130976688985,NA,net,60912964.2
2009-2013,Netherlands,1.0,2009-2013-Netherlands,-0.6857206439038048,NA,net,41034596.6
2009-2013,Sweden,1.0,2009-2013-Sweden,0.2570564949475107,NA,net,70793612.6
2009-2013,Denmark,1.0,2009-2013-Denmark,-0.6213993574444282,NA,net,16368421.6
2009-2013,Australia,1.0,2009-2013-Australia,0.9407135316195385,NA,net,42989142.8
2009-2013,Qatar,0.0,2009-2013-Qatar,NA,NA,net,0.0
2009-2013,Switzerland,1.0,2009-2013-Switzerland,0.02498565918491802,NA,net,52604363.2
2009-2013,Norway,1.0,2009-2013-Norway,0.9006759244736942,NA,net,277422415.6
2009-2013,Luxembourg,1.0,2009-2013-Luxembourg,-0.11186563417807627,NA,net,9041207.4
2009-2013,Liechtenstein,0.0,2009-2013-Liechtenstein,NA,NA,net,0.0
2009-2013,Monaco,0.0,2009-2013-Monaco,NA,NA,net,0.0
2009-2013,Taiwan,0.5916791169388149,2009-2013-Taiwan,-0.8981793397260107,NA,net,182258.0
2005-2008,India,-1.0,2005-2008-India,NA,0.7873156078163557,net,4478870095.5
2005-2008,Thailand,-0.749995469853349,2005-2008-Thailand,NA,-0.12315229546074768,net,602771200.0
2005-2008,Colombia,-0.4999743750018367,2005-2008-Colombia,NA,0.3489745862859832,net,1166289852.75
2005-2008,South Africa,-1.0,2005-2008-South Africa,NA,0.4651405170318037,net,999854599.5
2005-2008,Romania,-0.75,2005-2008-Romania,NA,-0.9997050370222266,net,97023.25
2005-2008,Brazil,-0.4998967536951009,2005-2008-Brazil,NA,-0.5165847220444639,net,549416751.25
2005-2008,Latvia,0.0,2005-2008-Latvia,NA,NA,net,0.0
2005-2008,Poland,-0.25,2005-2008-Poland,NA,-0.9999738788607966,net,13525.5
2005-2008,Hungary,0.5280535130718954,2005-2008-Hungary,NA,-0.9999093961367368,net,86571.25
2005-2008,Lithuania,0.0,2005-2008-Lithuania,NA,NA,net,0.0
2005-2008,Chile,0.0008999891373567963,2005-2008-Chile,0.31033693389622075,-0.09117427240644715,net,129473551.25
2005-2008,Estonia,0.0,2005-2008-Estonia,NA,NA,net,0.0
2005-2008,Slovakia,0.25,2005-2008-Slovak Republic,NA,NA,net,81523.25
2005-2008,Czech Rep.,0.6798133795635325,2005-2008-Czech Republic,0.35540488257411385,-0.9997799663180765,net,328747.75
2005-2008,Portugal,0.9895673424913989,2005-2008-Portugal,-0.17640729094704566,NA,net,3266788.75
2005-2008,Saudi Arabia,-1.0,2005-2008-Saudi Arabia,NA,0.3853224910575124,net,10056769.75
2005-2008,Korea,0.75,2005-2008-Korea,NA,NA,net,173767763.25
2005-2008,Slovenia,-0.75,2005-2008-Slovenia,NA,-0.9929120967834828,net,71379.75
2005-2008,Greece,1.0,2005-2008-Greece,-0.1627667620842933,NA,net,2878006.0
2005-2008,Spain,1.0,2005-2008-Spain,0.32185985361145786,NA,net,113883302.0
2005-2008,Cyprus,0.0,2005-2008-Cyprus,NA,-0.9999464587706296,net,2517.0
2005-2008,Italy,1.0,2005-2008-Italy,-0.02015684855247135,NA,net,42728302.5
2005-2008,New Zealand,1.0,2005-2008-New Zealand,0.2595949483040856,NA,net,4640859.5
2005-2008,United Arab Emirates,0.0,2005-2008-United Arab Emirates,NA,NA,net,0.0
2005-2008,United Kingdom,1.0,2005-2008-United Kingdom,0.12279685966172127,NA,net,857705875.75
2005-2008,France,0.9999916722814068,2005-2008-France,-0.385548563124825,NA,net,347085222.5
2005-2008,Germany,0.9999926600763068,2005-2008-Germany,0.17520541644411858,-0.0877248744517195,net,914365477.0
2005-2008,Iceland,0.0,2005-2008-Iceland,NA,NA,net,0.0
2005-2008,Belgium,1.0,2005-2008-Belgium,-0.0667374917924386,NA,net,48247576.5
2005-2008,Japan,1.0,2005-2008-Japan,0.5938137271948163,NA,net,3296114374.25
2005-2008,Kuwait,0.0,2005-2008-Kuwait,NA,NA,net,0.0
2005-2008,United States,0.9785109652026182,2005-2008-United States,-0.45768693757607604,21242.91707317073,net,1554415513.0
2005-2008,Finland,0.9992786055660041,2005-2008-Finland,0.3973834114493138,NA,net,33800093.0
2005-2008,Austria,0.9982285122764569,2005-2008-Austria,-0.8095034254128571,-0.9996971595422464,net,11125254.5
2005-2008,Ireland,1.0,2005-2008-Ireland,0.38368036483017476,NA,net,30187527.25
2005-2008,Canada,0.9998173485476404,2005-2008-Canada,-0.710721067698517,-0.9999055754588227,net,66383265.0
2005-2008,Netherlands,1.0,2005-2008-Netherlands,-0.5552055026465452,NA,net,130567267.0
2005-2008,Sweden,1.0,2005-2008-Sweden,-0.2786243477920701,NA,net,56316969.75
2005-2008,Denmark,1.0,2005-2008-Denmark,-0.3107341924539685,NA,net,43234003.75
2005-2008,Australia,1.0,2005-2008-Australia,-0.6545508177546044,NA,net,22151204.75
2005-2008,Qatar,0.25,2005-2008-Qatar,NA,NA,net,26129763.25
2005-2008,Switzerland,0.9996566522643942,2005-2008-Switzerland,-0.4121336247474102,1.1928526448362722,net,51346423.75
2005-2008,Norway,1.0,2005-2008-Norway,0.6074334600666764,NA,net,145959872.5
2005-2008,Luxembourg,1.0,2005-2008-Luxembourg,0.5888878826105226,NA,net,10179999.5
2005-2008,Liechtenstein,0.894835068894102,2005-2008-Liechtenstein,-0.18826128218278104,10.803441758679002,net,267878.25
2005-2008,Monaco,0.75,2005-2008-Monaco,NA,NA,net,235346.75
2005-2008,Taiwan,0.75,2005-2008-Taiwan,NA,NA,net,1762094.25
2001-2004,India,-1.0,2001-2004-India,NA,-0.03131612459456412,net,2505920093.75
2001-2004,Thailand,-1.0,2001-2004-Thailand,NA,-0.8085561851854115,net,687428477.75
2001-2004,Colombia,-1.0,2001-2004-Colombia,NA,0.0533606607985444,net,864559494.75
2001-2004,South Africa,-1.0,2001-2004-South Africa,NA,-0.013918119523635086,net,682429151.25
2001-2004,Romania,-1.0,2001-2004-Romania,NA,0.37972219256397977,net,328933653.75
2001-2004,Brazil,-1.0,2001-2004-Brazil,NA,-0.26884877025982123,net,1136417975.5
2001-2004,Latvia,-1.0,2001-2004-Latvia,NA,-0.16770387063397907,net,19421706.75
2001-2004,Poland,-1.0,2001-2004-Poland,NA,0.24982188751908185,net,517799009.25
2001-2004,Hungary,-1.0,2001-2004-Hungary,NA,0.7536525875311078,net,59967089.75
2001-2004,Lithuania,-1.0,2001-2004-Lithuania,NA,0.08112266054608464,net,29880306.75
2001-2004,Chile,-0.249534759284244,2001-2004-Chile,NA,-0.3779123032017777,net,142441716.0
2001-2004,Estonia,-0.49522103879857465,2001-2004-Estonia,NA,0.24998489885356268,net,16872892.5
2001-2004,Slovakia,-1.0,2001-2004-Slovak Republic,NA,-0.5889263458362588,net,41015419.75
2001-2004,Czech Rep.,-0.24598803620369591,2001-2004-Czech Republic,-0.18751823549843694,-0.5257272190309,net,53408727.0
2001-2004,Portugal,1.0,2001-2004-Portugal,1.977040729415167,NA,net,3932191.5
2001-2004,Saudi Arabia,-1.0,2001-2004-Saudi Arabia,NA,-0.9915438558580009,net,7259515.25
2001-2004,Korea,-1.0,2001-2004-Korea,NA,-0.7543343502260994,net,445811354.5
2001-2004,Slovenia,-1.0,2001-2004-Slovenia,NA,-0.3474460431677985,net,10070644.0
2001-2004,Greece,0.75,2001-2004-Greece,NA,NA,net,3437520.0
2001-2004,Spain,1.0,2001-2004-Spain,0.3413194996288553,NA,net,86153839.75
2001-2004,Cyprus,-1.0,2001-2004-Cyprus,NA,1.402882559067879,net,20867096.5
2001-2004,Italy,0.999430327641081,2001-2004-Italy,0.8524985737136004,-0.6148710068392347,net,43616185.25
2001-2004,New Zealand,0.75,2001-2004-New Zealand,NA,NA,net,3684406.25
2001-2004,United Arab Emirates,-1.0,2001-2004-United Arab Emirates,NA,2.6082620478589065,net,2425190.5
2001-2004,United Kingdom,1.0,2001-2004-United Kingdom,0.01494523666118086,NA,net,763901206.5
2001-2004,France,1.0,2001-2004-France,1.0137076215255254,NA,net,564866716.75
2001-2004,Germany,0.9999896218520752,2001-2004-Germany,0.5661728562914756,NA,net,778049124.25
2001-2004,Iceland,0.0,2001-2004-Iceland,NA,NA,net,0.0
2001-2004,Belgium,1.0,2001-2004-Belgium,0.6762310690842674,NA,net,51697755.0
2001-2004,Japan,1.0,2001-2004-Japan,-0.6718016745061429,NA,net,2068067502.5
2001-2004,Kuwait,-0.6920670612204118,2001-2004-Kuwait,0.10203941526585014,2.2336783460085883,net,2805149.25
2001-2004,United States,0.999999729644444,2001-2004-United States,-0.43224714989270774,NA,net,2818088421.5
2001-2004,Finland,1.0,2001-2004-Finland,0.21934555283978474,NA,net,24174951.0
2001-2004,Austria,0.6194966869465095,2001-2004-Austria,1.2057452265420312,NA,net,163515473.5
2001-2004,Ireland,0.5370213824387127,2001-2004-Ireland,9.940805394168086,0.2921937865143358,net,133642766.25
2001-2004,Canada,0.8229576630514985,2001-2004-Canada,-0.2894114873821395,NA,net,376288466.0
2001-2004,Netherlands,1.0,2001-2004-Netherlands,1.5734037040912132,NA,net,293545149.0
2001-2004,Sweden,1.0,2001-2004-Sweden,-0.28076510065852744,NA,net,78068853.0
2001-2004,Denmark,1.0,2001-2004-Denmark,0.2073774839238458,NA,net,62724718.5
2001-2004,Australia,0.7652385387498395,2001-2004-Australia,-0.29314945402870496,4.232758116305085,net,238343634.75
2001-2004,Qatar,-1.0,2001-2004-Qatar,NA,-0.9960732560750711,net,693974.25
2001-2004,Switzerland,0.9998772652480538,2001-2004-Switzerland,-0.13892947779887455,-0.7594147692840447,net,87313350.25
2001-2004,Norway,1.0,2001-2004-Norway,0.03950358998307957,NA,net,90803057.25
2001-2004,Luxembourg,0.766580245079304,2001-2004-Luxembourg,NA,NA,net,41237003.25
2001-2004,Liechtenstein,0.9840575343334708,2001-2004-Liechtenstein,1.0130816471076494,NA,net,295973.75
2001-2004,Monaco,0.0,2001-2004-Monaco,NA,NA,net,0.0
2001-2004,Taiwan,-1.0,2001-2004-Taiwan,NA,-0.8435084594846697,net,54235232.0
1997-2000,India,-1.0,1997-2000-India,NA,-0.1573100222728543,net,2586932803.75
1997-2000,Thailand,-1.0,1997-2000-Thailand,NA,0.9897155164861395,net,3590758356.0
1997-2000,Colombia,-1.0,1997-2000-Colombia,NA,0.2672415699219748,net,820763036.75
1997-2000,South Africa,-1.0,1997-2000-South Africa,NA,0.041271996524475885,net,692061343.75
1997-2000,Romania,-1.0,1997-2000-Romania,NA,0.6736035673128318,net,238405713.5
1997-2000,Brazil,-1.0,1997-2000-Brazil,NA,-0.22393440183271907,net,1554285802.0
1997-2000,Latvia,-1.0,1997-2000-Latvia,NA,-0.35664142285708234,net,23335092.0
1997-2000,Poland,-1.0,1997-2000-Poland,NA,-0.6345220039640324,net,414298240.75
1997-2000,Hungary,-1.0,1997-2000-Hungary,NA,-0.9020292867033374,net,34195535.75
1997-2000,Lithuania,-1.0,1997-2000-Lithuania,NA,-0.5985106145468808,net,27638220.75
1997-2000,Chile,-1.0,1997-2000-Chile,NA,0.24066928812371224,net,228898202.75
1997-2000,Estonia,-1.0,1997-2000-Estonia,NA,-0.5256304912939327,net,13442688.0
1997-2000,Slovakia,-1.0,1997-2000-Slovak Republic,NA,0.5467481608785183,net,99776328.0
1997-2000,Czech Rep.,-0.7471411667529033,1997-2000-Czech Republic,-0.7562719857335725,-0.48739528933686194,net,112406528.0
1997-2000,Portugal,1.0,1997-2000-Portugal,14.955389526262861,NA,net,1320839.0
1997-2000,Saudi Arabia,-1.0,1997-2000-Saudi Arabia,NA,220.69306986111548,net,858490007.75
1997-2000,Korea,-1.0,1997-2000-Korea,NA,3.99558761037063,net,1814707733.5
1997-2000,Slovenia,-1.0,1997-2000-Slovenia,NA,-0.45133949846625077,net,15432661.0
1997-2000,Greece,0.0,1997-2000-Greece,NA,NA,net,0.0
1997-2000,Spain,1.0,1997-2000-Spain,1.3332059128342437,NA,net,64230662.25
1997-2000,Cyprus,-1.0,1997-2000-Cyprus,NA,-0.6759462853366224,net,8684193.25
1997-2000,Italy,0.9993393835792811,1997-2000-Italy,-0.9401706674123684,-0.9998848373230043,net,23562816.75
1997-2000,New Zealand,0.0,1997-2000-New Zealand,NA,NA,net,0.0
1997-2000,United Arab Emirates,-1.0,1997-2000-United Arab Emirates,NA,-0.7778725724696055,net,672121.5
1997-2000,United Kingdom,1.0,1997-2000-United Kingdom,0.4869937445129451,NA,net,752652634.75
1997-2000,France,1.0,1997-2000-France,0.13986609689234775,NA,net,280510790.5
1997-2000,Germany,1.0,1997-2000-Germany,-0.5693462996248481,NA,net,496778663.75
1997-2000,Iceland,0.0,1997-2000-Iceland,NA,NA,net,0.0
1997-2000,Belgium,1.0,1997-2000-Belgium,-0.2927153519421031,NA,net,30841663.75
1997-2000,Japan,0.9922281677576685,1997-2000-Japan,1.1096824902703872,NA,net,6370497864.5
1997-2000,Kuwait,-0.5996040097880825,1997-2000-Kuwait,-0.9763668664976759,-0.9900241661658626,net,1049918.25
1997-2000,United States,1.0,1997-2000-United States,-0.03827692048869602,NA,net,4963580880.25
1997-2000,Finland,1.0,1997-2000-Finland,-0.08487673964569376,NA,net,19826169.0
1997-2000,Austria,1.0,1997-2000-Austria,1.4598988443682321,NA,net,26401039.0
1997-2000,Ireland,-0.2388798899271216,1997-2000-Ireland,NA,NA,net,88533677.25
1997-2000,Canada,1.0,1997-2000-Canada,1.1741903155868978,NA,net,322873863.25
1997-2000,Netherlands,1.0,1997-2000-Netherlands,-0.5839909332433847,NA,net,114068829.75
1997-2000,Sweden,1.0,1997-2000-Sweden,-0.34712239460953087,NA,net,108544306.0
1997-2000,Denmark,1.0,1997-2000-Denmark,-0.5803324694084983,NA,net,51951207.75
1997-2000,Australia,0.8276906204803505,1997-2000-Australia,0.35754352083374896,-0.8210599954818976,net,124010598.5
1997-2000,Qatar,-1.0,1997-2000-Qatar,NA,57.91014122100986,net,176730202.75
1997-2000,Switzerland,0.9996427475021243,1997-2000-Switzerland,1.1863009975346865,NA,net,101434222.75
1997-2000,Norway,1.0,1997-2000-Norway,0.027367596933439486,NA,net,87352326.75
1997-2000,Luxembourg,0.0,1997-2000-Luxembourg,NA,NA,net,0.0
1997-2000,Liechtenstein,0.75,1997-2000-Liechtenstein,0.6521654128947256,NA,net,145776.75
1997-2000,Monaco,0.0,1997-2000-Monaco,NA,NA,net,0.0
1997-2000,Taiwan,-0.7381066927882862,1997-2000-Taiwan,-0.33894608682281546,94.26772382482457,net,354110524.5
1993-1996,India,-1.0,1993-1996-India,NA,-0.13097862413782024,net,3069851157.75
1993-1996,Thailand,-1.0,1993-1996-Thailand,NA,0.3545437855353757,net,1804659171.75
1993-1996,Colombia,-1.0,1993-1996-Colombia,NA,0.509032487354528,net,647676856.75
1993-1996,South Africa,-1.0,1993-1996-South Africa,NA,1.982512537655356,net,664630707.5
1993-1996,Romania,-1.0,1993-1996-Romania,NA,2.112765674492408,net,142450529.0
1993-1996,Brazil,-1.0,1993-1996-Brazil,NA,1.9830975556927832,net,2002776319.0
1993-1996,Latvia,-1.0,1993-1996-Latvia,NA,0.3510557347257155,net,36270740.5
1993-1996,Poland,-1.0,1993-1996-Poland,NA,-0.7006333918563556,net,1133579162.75
1993-1996,Hungary,-1.0,1993-1996-Hungary,NA,0.24524092952549137,net,349038346.25
1993-1996,Lithuania,-1.0,1993-1996-Lithuania,NA,30.60577711755676,net,68839231.5
1993-1996,Chile,-1.0,1993-1996-Chile,NA,-0.5592717415970146,net,184495743.5
1993-1996,Estonia,-1.0,1993-1996-Estonia,NA,5.662248424569718,net,28338010.25
1993-1996,Slovakia,-1.0,1993-1996-Slovak Republic,NA,NA,net,64507158.0
1993-1996,Czech Rep.,-0.7203578665378364,1993-1996-Czech Republic,NA,0.44419687253918094,net,219904601.25
1993-1996,Portugal,0.25,1993-1996-Portugal,NA,NA,net,82783.25
1993-1996,Saudi Arabia,-0.75,1993-1996-Saudi Arabia,NA,-0.9349001454427468,net,3872426.0
1993-1996,Korea,-1.0,1993-1996-Korea,NA,0.05888063915838515,net,363262117.5
1993-1996,Slovenia,-1.0,1993-1996-Slovenia,NA,9.589412145608764,net,28127887.75
1993-1996,Greece,0.0,1993-1996-Greece,NA,NA,net,0.0
1993-1996,Spain,1.0,1993-1996-Spain,-0.5911370832408898,NA,net,27528930.0
1993-1996,Cyprus,-1.0,1993-1996-Cyprus,NA,0.09659885378456678,net,26798622.75
1993-1996,Italy,0.5890999174226605,1993-1996-Italy,1.821032140896274,NA,net,594050911.0
1993-1996,New Zealand,0.25,1993-1996-New Zealand,NA,NA,net,387758.5
1993-1996,United Arab Emirates,-0.75,1993-1996-United Arab Emirates,NA,NA,net,3025837.5
1993-1996,United Kingdom,1.0,1993-1996-United Kingdom,0.08519232428415657,NA,net,506157230.0
1993-1996,France,1.0,1993-1996-France,-0.2727774031142589,NA,net,246091002.5
1993-1996,Germany,1.0,1993-1996-Germany,-0.6980031014052888,NA,net,1153545559.5
1993-1996,Iceland,0.0,1993-1996-Iceland,NA,NA,net,0.0
1993-1996,Belgium,1.0,1993-1996-Belgium,-0.792767314541402,NA,net,43605730.5
1993-1996,Japan,1.0,1993-1996-Japan,0.11083015422826303,NA,net,2986835131.5
1993-1996,Kuwait,-0.006958071380534087,1993-1996-Kuwait,-0.06554778760684155,-0.9582028218689549,net,89213899.0
1993-1996,United States,1.0,1993-1996-United States,0.20914260980016963,NA,net,5161133164.0
1993-1996,Finland,1.0,1993-1996-Finland,-0.2853706238692195,NA,net,21665025.75
1993-1996,Austria,0.764782420528104,1993-1996-Austria,-0.4128056809723928,NA,net,43889337.25
1993-1996,Ireland,0.0,1993-1996-Ireland,NA,NA,net,0.0
1993-1996,Canada,0.9015184063218645,1993-1996-Canada,0.13174181222450243,41.78284525205935,net,169484396.0
1993-1996,Netherlands,1.0,1993-1996-Netherlands,-0.07398818206200397,NA,net,274197941.5
1993-1996,Sweden,1.0,1993-1996-Sweden,-0.62898353174934,NA,net,166255214.0
1993-1996,Denmark,1.0,1993-1996-Denmark,0.5799409315395347,NA,net,123791344.25
1993-1996,Australia,0.4214383099503348,1993-1996-Australia,-0.678881299142166,2.8452112539136163,net,252887632.5
1993-1996,Qatar,-1.0,1993-1996-Qatar,NA,3.0690329252992434,net,2999996.25
1993-1996,Switzerland,1.0,1993-1996-Switzerland,-0.5222947654678132,NA,net,46374227.0
1993-1996,Norway,0.8801466871590593,1993-1996-Norway,0.9630402753198521,0.07048837976315969,net,101796808.25
1993-1996,Luxembourg,-0.25,1993-1996-Luxembourg,NA,NA,net,103929951.5
1993-1996,Liechtenstein,0.75,1993-1996-Liechtenstein,0.13462762571610432,NA,net,88233.75
1993-1996,Monaco,0.0,1993-1996-Monaco,NA,NA,net,0.0
1993-1996,Taiwan,-0.26375123682856283,1993-1996-Taiwan,NA,-0.8191759529922658,net,15045071.0
1989-1992,India,-1.0,1989-1992-India,NA,0.09728325581306008,net,3532538143.5
1989-1992,Thailand,-1.0,1989-1992-Thailand,NA,0.2607849954335142,net,1332300359.0
1989-1992,Colombia,-1.0,1989-1992-Colombia,NA,0.18124455154228047,net,429200075.0
1989-1992,South Africa,-1.0,1989-1992-South Africa,NA,7.414202805092939,net,222842552.75
1989-1992,Romania,-1.0,1989-1992-Romania,NA,NA,net,45763332.0
1989-1992,Brazil,-1.0,1989-1992-Brazil,NA,0.05042709847064053,net,671374731.0
1989-1992,Latvia,-0.75,1989-1992-Latvia,NA,NA,net,26846220.75
1989-1992,Poland,-1.0,1989-1992-Poland,NA,13.663519604081797,net,3786591864.0
1989-1992,Hungary,-1.0,1989-1992-Hungary,NA,34.824967644807856,net,280297842.75
1989-1992,Lithuania,-0.5,1989-1992-Lithuania,NA,NA,net,2178058.5
1989-1992,Chile,-1.0,1989-1992-Chile,NA,0.893564650375259,net,418615643.5
1989-1992,Estonia,-0.5,1989-1992-Estonia,NA,NA,net,4253520.5
1989-1992,Slovakia,0.0,1989-1992-Slovak Republic,NA,NA,net,0.0
1989-1992,Czech Rep.,-0.75,1989-1992-Czech Republic,NA,NA,net,151449827.0
1989-1992,Portugal,0.0,1989-1992-Portugal,NA,NA,net,0.0
1989-1992,Saudi Arabia,-0.5,1989-1992-Saudi Arabia,NA,1.0784531153611576,net,59484403.25
1989-1992,Korea,-1.0,1989-1992-Korea,NA,-0.29561935988187127,net,343062385.0
1989-1992,Slovenia,-0.25,1989-1992-Slovenia,NA,NA,net,2656227.5
1989-1992,Greece,-0.25,1989-1992-Greece,NA,3.0700681585891436,net,75853016.75
1989-1992,Spain,0.75,1989-1992-Spain,NA,NA,net,67330464.25
1989-1992,Cyprus,-1.0,1989-1992-Cyprus,NA,-0.47404461218131055,net,24437945.25
1989-1992,Italy,1.0,1989-1992-Italy,-0.08773659910374443,NA,net,139469422.75
1989-1992,New Zealand,0.0,1989-1992-New Zealand,NA,NA,net,0.0
1989-1992,United Arab Emirates,0.0,1989-1992-United Arab Emirates,NA,NA,net,0.0
1989-1992,United Kingdom,1.0,1989-1992-United Kingdom,0.6382976333048347,NA,net,466421682.75
1989-1992,France,1.0,1989-1992-France,0.30500588894310576,NA,net,338398454.0
1989-1992,Germany,1.0,1989-1992-Germany,3.1576643495966064,NA,net,3819726510.0
1989-1992,Iceland,0.0,1989-1992-Iceland,NA,NA,net,0.0
1989-1992,Belgium,0.75,1989-1992-Belgium,199.7893661946463,NA,net,210419174.0
1989-1992,Japan,1.0,1989-1992-Japan,0.20065216211238823,NA,net,2688831519.5
1989-1992,Kuwait,-0.24977624782890953,1989-1992-Kuwait,-0.6086248827716183,238.68061874060814,net,1866803062.5
1989-1992,United States,1.0,1989-1992-United States,1.4504179233183323,NA,net,4268423858.5
1989-1992,Finland,1.0,1989-1992-Finland,61.81490122381154,NA,net,30316450.0
1989-1992,Austria,1.0,1989-1992-Austria,-0.29448795093554125,NA,net,18277716.0
1989-1992,Ireland,-0.5,1989-1992-Ireland,NA,NA,net,13075835.25
1989-1992,Canada,0.9949867090073494,1989-1992-Canada,-0.4850295281141278,NA,net,131706771.0
1989-1992,Netherlands,1.0,1989-1992-Netherlands,-0.09257907326283155,NA,net,296106309.0
1989-1992,Sweden,1.0,1989-1992-Sweden,2.08901616791078,NA,net,448107370.5
1989-1992,Denmark,1.0,1989-1992-Denmark,-0.41329351705014783,NA,net,78351881.25
1989-1992,Australia,0.8071662211997994,1989-1992-Australia,14.937746407506175,NA,net,256485623.5
1989-1992,Qatar,-0.25,1989-1992-Qatar,NA,-0.6772691836117399,net,737275.0
1989-1992,Switzerland,1.0,1989-1992-Switzerland,0.8625252495562603,NA,net,97077075.25
1989-1992,Norway,0.8475758765578146,1989-1992-Norway,-0.5204258305856453,NA,net,58980188.75
1989-1992,Luxembourg,0.0,1989-1992-Luxembourg,NA,NA,net,0.0
1989-1992,Liechtenstein,0.5,1989-1992-Liechtenstein,NA,NA,net,77764.5
1989-1992,Monaco,0.0,1989-1992-Monaco,NA,NA,net,0.0
1989-1992,Taiwan,-0.5,1989-1992-Taiwan,NA,-0.1529426408256399,net,20118178.75
1985-1988,India,-1.0,1985-1988-India,NA,-0.06461826883525779,net,3219349356.5
