group,country,value,index
1973-1977,Monaco,,1973-1977-Monaco
1973-1977,Liechtenstein,,1973-1977-Liechtenstein
1973-1977,Luxembourg,,1973-1977-Luxembourg
1973-1977,Norway,,1973-1977-Norway
1973-1977,Switzerland,,1973-1977-Switzerland
1973-1977,Qatar,,1973-1977-Qatar
1973-1977,Australia,,1973-1977-Australia
1973-1977,Denmark,,1973-1977-Denmark
1973-1977,Sweden,,1973-1977-Sweden
1973-1977,United States,,1973-1977-United States
1973-1977,Canada,,1973-1977-Canada
1973-1977,Netherlands,,1973-1977-Netherlands
1973-1977,Ireland,,1973-1977-Ireland
1973-1977,Austria,,1973-1977-Austria
1973-1977,Finland,,1973-1977-Finland
1973-1977,Iceland,,1973-1977-Iceland
1973-1977,Kuwait,,1973-1977-Kuwait
1973-1977,Belgium,,1973-1977-Belgium
1973-1977,Germany,,1973-1977-Germany
1973-1977,New Zealand,,1973-1977-New Zealand
1973-1977,United Kingdom,,1973-1977-United Kingdom
1973-1977,France,,1973-1977-France
1973-1977,United Arab Emirates,,1973-1977-United Arab Emirates
1973-1977,Japan,,1973-1977-Japan
1973-1977,Italy,,1973-1977-Italy
1973-1977,Spain,,1973-1977-Spain
1973-1977,Cyprus,,1973-1977-Cyprus
1973-1977,Korea,,1973-1977-Korea
1973-1977,Saudi Arabia,,1973-1977-Saudi Arabia
1973-1977,Slovenia,,1973-1977-Slovenia
1973-1977,Greece,,1973-1977-Greece
1973-1977,Portugal,,1973-1977-Portugal
1973-1977,Czech Republic,,1973-1977-Czech Republic
1973-1977,Estonia,,1973-1977-Estonia
1973-1977,Slovak Republic,,1973-1977-Slovak Republic
1973-1977,Chile,,1973-1977-Chile
1973-1977,Lithuania,,1973-1977-Lithuania
1973-1977,Latvia,,1973-1977-Latvia
1973-1977,Poland,,1973-1977-Poland
1973-1977,Hungary,,1973-1977-Hungary
1973-1977,Brazil,,1973-1977-Brazil
1973-1977,Romania,,1973-1977-Romania
1973-1977,Colombia,,1973-1977-Colombia
1973-1977,South Africa,,1973-1977-South Africa
1973-1977,Thailand,,1973-1977-Thailand
1973-1977,India,,1973-1977-India
1973-1977,Taiwan,,1973-1977-Taiwan
1978-1982,Monaco,,1978-1982-Monaco
1978-1982,Liechtenstein,NA,1978-1982-Liechtenstein
1978-1982,Luxembourg,,1978-1982-Luxembourg
1978-1982,Norway,NA,1978-1982-Norway
1978-1982,Switzerland,,1978-1982-Switzerland
1978-1982,Qatar,,1978-1982-Qatar
1978-1982,Australia,NA,1978-1982-Australia
1978-1982,Denmark,NA,1978-1982-Denmark
1978-1982,Sweden,NA,1978-1982-Sweden
1978-1982,United States,,1978-1982-United States
1978-1982,Canada,NA,1978-1982-Canada
1978-1982,Netherlands,,1978-1982-Netherlands
1978-1982,Ireland,NA,1978-1982-Ireland
1978-1982,Austria,NA,1978-1982-Austria
1978-1982,Finland,,1978-1982-Finland
1978-1982,Iceland,NA,1978-1982-Iceland
1978-1982,Kuwait,-0.75905039587321,1978-1982-Kuwait
1978-1982,Belgium,NA,1978-1982-Belgium
1978-1982,Germany,,1978-1982-Germany
1978-1982,New Zealand,NA,1978-1982-New Zealand
1978-1982,United Kingdom,NA,1978-1982-United Kingdom
1978-1982,France,NA,1978-1982-France
1978-1982,United Arab Emirates,-0.20188320257963388,1978-1982-United Arab Emirates
1978-1982,Japan,NA,1978-1982-Japan
1978-1982,Italy,NA,1978-1982-Italy
1978-1982,Spain,NA,1978-1982-Spain
1978-1982,Cyprus,1.9158704703225484,1978-1982-Cyprus
1978-1982,Korea,0.21670852877124713,1978-1982-Korea
1978-1982,Saudi Arabia,11361.192282286433,1978-1982-Saudi Arabia
1978-1982,Slovenia,,1978-1982-Slovenia
1978-1982,Greece,NA,1978-1982-Greece
1978-1982,Portugal,NA,1978-1982-Portugal
1978-1982,Czech Republic,,1978-1982-Czech Republic
1978-1982,Estonia,,1978-1982-Estonia
1978-1982,Slovak Republic,,1978-1982-Slovak Republic
1978-1982,Chile,-0.8601028572153381,1978-1982-Chile
1978-1982,Lithuania,,1978-1982-Lithuania
1978-1982,Latvia,,1978-1982-Latvia
1978-1982,Poland,NA,1978-1982-Poland
1978-1982,Hungary,,1978-1982-Hungary
1978-1982,Brazil,0.7738058872484685,1978-1982-Brazil
1978-1982,Romania,NA,1978-1982-Romania
1978-1982,Colombia,0.5603399013517547,1978-1982-Colombia
1978-1982,South Africa,,1978-1982-South Africa
1978-1982,Thailand,1.6051166574487659,1978-1982-Thailand
1978-1982,India,-0.025481189239850544,1978-1982-India
1978-1982,Taiwan,4685.5565938054815,1978-1982-Taiwan
1983-1987,Monaco,,1983-1987-Monaco
1983-1987,Liechtenstein,-1.0,1983-1987-Liechtenstein
1983-1987,Luxembourg,,1983-1987-Luxembourg
1983-1987,Norway,-1.0,1983-1987-Norway
1983-1987,Switzerland,,1983-1987-Switzerland
1983-1987,Qatar,,1983-1987-Qatar
1983-1987,Australia,-1.0,1983-1987-Australia
1983-1987,Denmark,-0.4052895948317412,1983-1987-Denmark
1983-1987,Sweden,-1.0,1983-1987-Sweden
1983-1987,United States,,1983-1987-United States
1983-1987,Canada,-0.952803572890054,1983-1987-Canada
1983-1987,Netherlands,,1983-1987-Netherlands
1983-1987,Ireland,-1.0,1983-1987-Ireland
1983-1987,Austria,-1.0,1983-1987-Austria
1983-1987,Finland,NA,1983-1987-Finland
1983-1987,Iceland,-1.0,1983-1987-Iceland
1983-1987,Kuwait,5.68677080012751,1983-1987-Kuwait
1983-1987,Belgium,-1.0,1983-1987-Belgium
1983-1987,Germany,,1983-1987-Germany
1983-1987,New Zealand,-1.0,1983-1987-New Zealand
1983-1987,United Kingdom,-1.0,1983-1987-United Kingdom
1983-1987,France,-1.0,1983-1987-France
1983-1987,United Arab Emirates,91.02058047962537,1983-1987-United Arab Emirates
1983-1987,Japan,0.534926792060654,1983-1987-Japan
1983-1987,Italy,-0.2216649903848048,1983-1987-Italy
1983-1987,Spain,-1.0,1983-1987-Spain
1983-1987,Cyprus,0.04550320188354795,1983-1987-Cyprus
1983-1987,Korea,-0.43687034817793813,1983-1987-Korea
1983-1987,Saudi Arabia,-0.5430328716872684,1983-1987-Saudi Arabia
1983-1987,Slovenia,,1983-1987-Slovenia
1983-1987,Greece,-0.7396435879314038,1983-1987-Greece
1983-1987,Portugal,-0.8409031354760971,1983-1987-Portugal
1983-1987,Czech Republic,,1983-1987-Czech Republic
1983-1987,Estonia,,1983-1987-Estonia
1983-1987,Slovak Republic,,1983-1987-Slovak Republic
1983-1987,Chile,8.529260414925771,1983-1987-Chile
1983-1987,Lithuania,,1983-1987-Lithuania
1983-1987,Latvia,,1983-1987-Latvia
1983-1987,Poland,12.601103741293642,1983-1987-Poland
1983-1987,Hungary,NA,1983-1987-Hungary
1983-1987,Brazil,0.3009361109194222,1983-1987-Brazil
1983-1987,Romania,-1.0,1983-1987-Romania
1983-1987,Colombia,-0.11409832634469752,1983-1987-Colombia
1983-1987,South Africa,NA,1983-1987-South Africa
1983-1987,Thailand,-0.10121917426551552,1983-1987-Thailand
1983-1987,India,0.15834626695532905,1983-1987-India
1983-1987,Taiwan,-0.71814499176868,1983-1987-Taiwan
1988-1992,Monaco,,1988-1992-Monaco
1988-1992,Liechtenstein,,1988-1992-Liechtenstein
1988-1992,Luxembourg,,1988-1992-Luxembourg
1988-1992,Norway,NA,1988-1992-Norway
1988-1992,Switzerland,,1988-1992-Switzerland
1988-1992,Qatar,NA,1988-1992-Qatar
1988-1992,Australia,NA,1988-1992-Australia
1988-1992,Denmark,-1.0,1988-1992-Denmark
1988-1992,Sweden,,1988-1992-Sweden
1988-1992,United States,,1988-1992-United States
1988-1992,Canada,-0.9871806029000566,1988-1992-Canada
1988-1992,Netherlands,,1988-1992-Netherlands
1988-1992,Ireland,NA,1988-1992-Ireland
1988-1992,Austria,,1988-1992-Austria
1988-1992,Finland,-1.0,1988-1992-Finland
1988-1992,Iceland,,1988-1992-Iceland
1988-1992,Kuwait,14200.684430121471,1988-1992-Kuwait
1988-1992,Belgium,,1988-1992-Belgium
1988-1992,Germany,,1988-1992-Germany
1988-1992,New Zealand,,1988-1992-New Zealand
1988-1992,United Kingdom,,1988-1992-United Kingdom
1988-1992,France,,1988-1992-France
1988-1992,United Arab Emirates,-1.0,1988-1992-United Arab Emirates
1988-1992,Japan,-1.0,1988-1992-Japan
1988-1992,Italy,-1.0,1988-1992-Italy
1988-1992,Spain,,1988-1992-Spain
1988-1992,Cyprus,-0.37980308655700046,1988-1992-Cyprus
1988-1992,Korea,-0.40966882081725553,1988-1992-Korea
1988-1992,Saudi Arabia,-0.17048828452605658,1988-1992-Saudi Arabia
1988-1992,Slovenia,NA,1988-1992-Slovenia
1988-1992,Greece,8.265259779685397,1988-1992-Greece
1988-1992,Portugal,-0.8928515391694394,1988-1992-Portugal
1988-1992,Czech Republic,NA,1988-1992-Czech Republic
1988-1992,Estonia,NA,1988-1992-Estonia
1988-1992,Slovak Republic,,1988-1992-Slovak Republic
1988-1992,Chile,0.5082243492245697,1988-1992-Chile
1988-1992,Lithuania,NA,1988-1992-Lithuania
1988-1992,Latvia,NA,1988-1992-Latvia
1988-1992,Poland,13.838405248833743,1988-1992-Poland
1988-1992,Hungary,34.824967644807856,1988-1992-Hungary
1988-1992,Brazil,-0.0016895076858072233,1988-1992-Brazil
1988-1992,Romania,NA,1988-1992-Romania
1988-1992,Colombia,0.2712471141231583,1988-1992-Colombia
1988-1992,South Africa,7.42406389369129,1988-1992-South Africa
1988-1992,Thailand,0.2671231764241109,1988-1992-Thailand
1988-1992,India,0.1046623095581185,1988-1992-India
1988-1992,Taiwan,-0.7009013263701271,1988-1992-Taiwan
1993-1997,Monaco,,1993-1997-Monaco
1993-1997,Liechtenstein,,1993-1997-Liechtenstein
1993-1997,Luxembourg,NA,1993-1997-Luxembourg
1993-1997,Norway,0.07048837976315969,1993-1997-Norway
1993-1997,Switzerland,,1993-1997-Switzerland
