TOTAL_TRIPS,BusStopCode,type,Description,Latitude,Longitude
109,10011,origin,BEF NEIL RD,1.2777380589964,103.83749709165197
62,10041,origin,BEF KAMPONG BAHRU TER,1.27605834770353,103.83519065305671
61,10051,origin,Blk 149,1.2774116353284,103.83214410914843
27,10061,origin,Blk 140,1.27860472196885,103.82948638898173
81,10071,origin,Blk 111,1.28045309423663,103.82638920754815
108,10081,origin,Opp Blk 120,1.2822783541702,103.82241744338572
294,10091,origin,Bt Merah Town Ctr,1.28394108576437,103.81783962251122
42,10101,origin,OPP BT MERAH SEC SCH,1.28506195168861,103.8137833011436
162,10111,origin,Opp Blk 28,1.28592835098556,103.80935410958449
269,10131,origin,Opp Blk 2,1.28619141382394,103.80686549059318
54,10501,origin,Blk 104,1.28105845355429,103.82528065411316
304,11021,origin,Aft Queenstown NPC HQ,1.28941805603102,103.80228694398484
25,11031,origin,Opp Queen's Cl,1.29119666696879,103.80045500000118
43,11041,origin,Aft C'wealth Dr,1.29624499998226,103.79952333299494
133,11051,origin,Opp Queenstown Polyclinic,1.29872166703909,103.8002979755481
33,11061,origin,Opp Queensway Sec Sch,1.30265777802206,103.80118694402536
70,11071,origin,Blk 97,1.30621305601609,103.80170944396954
13,11081,origin,Viz Holland,1.30851972202313,103.80258027799627
37,11091,origin,Tulip Gdn,1.31219444050072,103.80367378215983
94,11101,origin,Farrer Rd Mkt,1.31614971080385,103.80596012189226
64,11111,origin,Farrer Rd Stn Exit B,1.31780157259006,103.80771866952543
2388,14009,origin,HarbourFront Int,1.26703502614245,103.81901469907409
59,14131,origin,Caribbean at Keppel Bay,1.26740130257465,103.81675441150337
32,14151,origin,Opp Chr Community Chapel,1.26964765905364,103.8129359412343
107,14161,origin,Telok Blangah Stn,1.27075866533548,103.81009913005327
4,14171,origin,Opp Yeo's Bldg,1.27145959833005,103.80654857059398
287,15041,origin,Aft PSA Bldg,1.27474059154052,103.80188920243768
148,15051,origin,Alexandra Pt,1.27718388886974,103.80248500000464
119,16091,origin,Opp SIT Dover,1.29939666697351,103.7792311110139
30,17059,origin,Regent Pk,1.31694333299923,103.76170111103328
113,17121,origin,Blk 610,1.30476410258543,103.76944539352431
12,17131,origin,Clementi Flyover,1.3080413890204,103.76591111102081
120,17141,origin,Clementi Stadium,1.3109950000148,103.76349999999258
47,18011,origin,Aft Hortpark,1.28087089714667,103.8021033300325
16,18041,origin,Normanton Pk,1.28836025261771,103.7931740283919
387,18071,origin,NUH,1.29540809825612,103.7844750019296
79,18101,origin,PSB Science Pk Bldg,1.29282473128738,103.78636181453894
69,18131,origin,Science Pk,1.28950073498414,103.7918327963467
14,20089,origin,Opp Carrier S'pore,1.32702967705527,103.7392229529496
82,20101,origin,Nan Hua Pr Sch,1.31993714188512,103.76221926730373
8,20271,origin,Opp German Ctr,1.32527553308365,103.74550887325397
37,21019,origin,Aft Yuan Ching Rd,1.32554867828642,103.72703317988619
24,21179,origin,CORP PL,1.32586166697514,103.71929527796603
27,21189,origin,Blk 161,1.33026046590704,103.72122294249655
18,21199,origin,Opp Jurong Stadium,1.333309472028,103.72051292839538
2,21209,origin,Opp Sime Rengo Packaging Ltd,1.33687648564633,103.71805599895127
3,21219,origin,Lakepoint Condo,1.34010356133429,103.71625930906035
28,21279,origin,Assyakirin Mque,1.33491282590378,103.71952517818409
42,21689,origin,Blk 200,1.34241984576482,103.71442338427325
15,21699,origin,SUMMERDALE,1.34154982082089,103.71203075013112
900,22009,origin,Boon Lay Int,1.33932334709184,103.70545701843297
21,22499,origin,Opp Blk 662C,1.33752755300605,103.70488157561539
34,28011,origin,BEF TOH TUCK AVE,1.32425805601593,103.7591472219987
90,28099,origin,Opp Lakeside Stn,1.34432009933148,103.71929832147642
105,28101,origin,Opp SMRT Ulu Pandan Depot,1.33312436803086,103.75905617435505
51,28181,origin,Bef Toh Tuck Link,1.32996642498284,103.75819801692671
549,28201,origin,Opp The JTC Summit,1.33205706208933,103.7418504873348
5,28231,origin,Jurong Town Hall,1.32986201071411,103.74248183726264
33,28241,origin,Opp Jurong East Lib,1.33175858461326,103.73957485927775
46,28251,origin,S'pore Science Ctr,1.33382805600325,103.7369883329766
3,28261,origin,Aft S'pore Science Ctr,1.33614236992322,103.73489878344925
3,28271,origin,Opp Blk 114,1.33899259685337,103.73390575121081
