,BusStopCode,RoadName,Description,Latitude,Longitude
0,14041,Henderson Rd,Blk 54,1.2732727805917,103.81247079301698
1,14049,Henderson Rd,Opp Blk 55,1.27324166755337,103.81304231999674
2,14051,Henderson Rd,Aft Telok Blangah Hts,1.27581500000367,103.81507555599188
3,14059,Henderson Rd,Bef Telok Blangah Hts,1.27537485139506,103.81514365492288
4,14061,Keppel Rd,Opp Former Railway Stn,1.27231269789239,103.83862035734883
5,14069,Keppel Rd,Former Railway Stn,1.27261333297575,103.83694861102117
6,14071,Keppel Rd,Keppel Workshop,1.27220342411953,103.8339025862589
7,14081,Keppel Rd,Tg Pagar DP Blk F5,1.27067760623796,103.83061367871179
8,14089,Keppel Rd,Opp Tg Pagar DP Blk F5,1.27046005041763,103.829792773326
9,14101,Keppel Rd,Opp Keppel DP Blk 517,1.26837500002503,103.82825805600972
10,14109,Keppel Rd,Keppel DP Blk 517,1.26804601553507,103.82722490505579
11,14119,Telok Blangah Rd,Opp VivoCity,1.26592360897281,103.8222827803663
12,14121,Telok Blangah Rd,Harbourfront Stn Exit B,1.26591350024271,103.81925660621779
13,14129,Telok Blangah Rd,Harbourfront Stn Exit A,1.26607869101924,103.81977877391114
14,14131,Telok Blangah Rd,Caribbean at Keppel Bay,1.26740130257465,103.81675441150337
15,14139,Telok Blangah Rd,Bef Seah Im Rd,1.2686352773503,103.81546952380809
16,14141,Telok Blangah Rd,VivoCity,1.26552421466644,103.82211326846237
17,14151,Telok Blangah Rd,Opp Chr Community Chapel,1.26964765905364,103.8129359412343
18,14159,Telok Blangah Rd,Bef Chr Community Chapel,1.26994046445496,103.81315419081787
19,14161,Telok Blangah Rd,Telok Blangah Stn,1.27075866533548,103.81009913005327
20,14169,Telok Blangah Rd,Opp Telok Blangah Stn,1.27118550385957,103.80941810434497
21,14171,Telok Blangah Rd,Opp Yeo's Bldg,1.27145959833005,103.80654857059398
22,14179,Telok Blangah Rd,Yeo's Bldg,1.27188454577735,103.80630000533797
23,14189,Telok Blangah Rd,Aft Alexandra Rd,1.27269303340787,103.80398363214624
24,14191,Depot Rd,Blk 105 CP,1.28121833300943,103.81211444400743
25,14199,Depot Rd,Blk 118,1.28131676735406,103.81275056370772
26,14201,Depot Rd,Blk 110,1.28167307267242,103.80914683892263
27,14209,Depot Rd,Aft Hewlett Packard,1.28176397706369,103.80958869712056
28,14211,Depot Rd,ISS Intl Sch,1.28161168409316,103.80521877469815
29,14219,Depot Rd,Opp Blk 114,1.28218647936578,103.80684961252827
30,14221,Kg Bahru Rd,Opp St. Teresa's Ch,1.27359332247784,103.82893371728431
31,14229,Kg Bahru Rd,St. Teresa's Ch,1.27370670186653,103.82857888915174
32,14231,Kg Bahru Rd,Keppel DP Blk 519,1.27100999999332,103.82667222202473
33,14239,Kg Bahru Rd,Opp Keppel DP Blk 519,1.27178138152481,103.8271423936315
34,14241,Henderson Rd,Opp Blk 1,1.27914353103301,103.8168725087535
35,14249,Henderson Rd,Blk 1,1.27947405747082,103.81732991211003
36,14259,Telok Blangah Cres,Blk 11,1.27784501068205,103.81865821941
37,14269,Telok Blangah Cres,Blk 10,1.27758480623244,103.81999451121168
38,14271,Telok Blangah Way,Al-Amin Mque,1.27568194286532,103.81914854048932
39,14279,Telok Blangah Way,Blk 25,1.27591552267791,103.81920892602811
40,14281,Telok Blangah Way,Safra Mt Faber,1.27699671573899,103.81804377490617
41,14291,Telok Blangah Way,Blk 27,1.27468440821038,103.82132649422054
42,14299,Telok Blangah Way,Opp Blk 27,1.27488820445716,103.82127132943862
43,14309,Telok Blangah Rise,Blk 41,1.27128899958763,103.82302593897191
44,14319,Telok Blangah Rise,Blk 28,1.27340685178245,103.82071832142381
45,14329,Telok Blangah St 32,Blk 67,1.27434961469084,103.8094536607413
46,14331,Telok Blangah Hts,Opp Blk 70B,1.27694611110347,103.8110680555484
47,14339,Telok Blangah Hts,Blk 70A,1.276660654539,103.81124504785828
48,14341,Telok Blangah Hts,Opp Blk 59,1.2759338888633,103.81347388887318
49,14349,Telok Blangah Hts,Blk 59,1.27579029839825,103.81339813671549
50,14351,Telok Blangah Dr,Aft Blk 48,1.27275000000424,103.81036111111034
51,14359,Telok Blangah Dr,Blk 50,1.27289055599998,103.81035027797056
52,14369,Depot Rd,The Interlace,1.28153635758335,103.80365927155157
53,14379,Lower Delta Rd,Blk 40,1.27243833303297,103.82379361102515
