BusStopCode,RATIO,TOTAL,Description,Latitude,Longitude
45409,infinity,2,Blk 675,1.401897778,103.7457961
64251,infinity,1,Hougang Sec Sch,1.37719,103.88271
22191,infinity,9518,Sbst Soon Lee Depot,1.33130584013018,103.69832754842358
80249,111933.33333333333,30249,Blk 49 Mkt/FC,1.31693643112186,103.87985994146072
18279,55090.0,5519,Opp Blk 85,1.28840636755823,103.78976622482348
18269,53544.444444444445,4828,Bef Reuters,1.29010333301913,103.78918694399599
46219,39032.68571428571,342411,Johor Bahru Checkpt,1.4654268105665,103.76826657164715
32089,35186.36363636364,7763,Aft Sg Gedong Camp,1.41681891211204,103.7010851003633
23199,25853.846153846156,3374,S'Pore Trspt Pte Ltd,1.31951264524841,103.68312351699183
99131,23935.862068965518,34852,Blk 4,1.38894186746545,103.98734296938127
23209,22084.21052631579,4215,Aft Shimano Pte Ltd,1.31950327084795,103.68577614249959
26051,21716.666666666664,3927,BLASTING ABRASIVES,1.316385,103.641295
33019,21055.555555555555,1904,B20 Lim Chu Kang Rd,1.41920159190274,103.70215656491881
24619,12876.0,3244,Opp Marinteknik,1.31113971951498,103.65260471956782
34049,11225.0,453,Aft Lim Chu Kang Lane 8,1.43837406233239,103.70802408979871
22061,11022.222222222223,5005,Ceva Logistics,1.31427617763344,103.70464097156747
97179,10757.142857142857,15200,SATS Catering,1.34529387211141,103.9698135852748
18289,10507.142857142857,1485,Opp The Rutherford,1.28738105702672,103.7912059790003
21301,10066.666666666668,4880,Opp Jln Pesawat,1.31849721492889,103.70997054139839
14529,10033.333333333332,1520,Opp Merlion Plaza,1.253226,103.821217
25349,9730.76923076923,2556,Times Printers,1.32159222133434,103.65248184445197
22051,9185.9375,5943,Opp Buroh St,1.31386916701697,103.7020447220124
22141,8965.322580645161,11241,Aft Jln Buroh,1.3173330063793,103.6959517251446
97169,8202.272727272726,3653,Opp Edwards Lifesciences,1.34695022666824,103.96753724160826
44631,8166.118421052632,25129,Opp Bt Panjang Plaza,1.37961719959059,103.76390959462616
25339,7923.999999999999,2006,Asia Steel Welded Mesh,1.32018179763398,103.65396888287178
34109,7461.538461538461,1966,Aft Lim Chu Kang Rd,1.38430083002772,103.69811219997105
31089,7385.714285714286,524,HQ 5th SIB Camp I,1.37992729418245,103.69711516294915
23479,7047.499999999999,2859,Bef Benoi Rd,1.31950924526288,103.68065985334341
26061,6926.086956521739,4848,B S DEVELOPMENT,1.318186,103.639406
23461,6486.666666666666,1976,Tanoto Shipyard,1.30546916761511,103.69643466903611
22151,6392.05298013245,9803,Hitachi,1.32095233702714,103.69627164313702
25361,6256.25,2034,Yan San Metals Pte Ltd,1.32495846442648,103.65112458286887
10401,6204.0,7880,Shriro Hse,1.28816729863,103.81167850401884
55219,6180.985915492957,8919,Bef Ang Mo Kio Ave 9,1.38560725163314,103.8459306339141
24631,6143.564356435643,6306,Bef Benoi Rd,1.32056657586424,103.67824444522353
97149,6052.873563218391,5353,Aft VICOM,1.35180572395974,103.96795596081698
55331,6026.923076923076,1593,Aft Lentor Gr,1.38692246241021,103.8371410383723
32119,5953.333333333333,908,Aft LP 96,1.39858000001944,103.699882699978
18081,5847.619047619048,2498,Blk 55,1.29478519265463,103.78733754155819
18189,5653.846153846154,2244,Tanglin Trust Sch,1.29839662957663,103.79390316193482
97159,5594.791666666666,5467,Bef Vicom,1.35028972565622,103.96769101118204
34039,5570.588235294117,964,Bef Lim Chu Kang Lane 6,1.43659170251147,103.70811753153625
