PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
46101/46211,483302,46101,46211
46109/46219,300406,46219,46109
45139/46109,233941,46109,45139
46009/46069,160764,46069,46009
45139/46101,135547,45139,46101
46008/46069,119445,46008,46069
53231/53389,95824,53389,53231
46009/46101,88099,46009,46101
22009/27389,76061,27389,22009
63039/63059,75689,63059,63039
59009/59469,74781,59009,59469
21449/28091,70729,28091,21449
44009/44621,68399,44009,44621
53009/53281,68127,53281,53009
22009/22599,67710,22599,22009
44009/44629,67473,44629,44009
17009/17201,66883,17201,17009
22009/27381,66860,22009,27381
52009/52331,64929,52331,52009
17009/17201,64773,17009,17201
17041/17171,62083,17041,17171
53009/53381,59314,53009,53381
53009/53289,58550,53009,53289
46779/47619,57535,47619,46779
54261/66331,57120,54261,66331
20239/28009,56090,20239,28009
45321/45421,55582,45321,45421
45329/45421,55485,45421,45329
84011/84031,52929,84011,84031
46779/46799,52408,46799,46779
53239/53381,52345,53239,53381
46009/46189,52282,46189,46009
44009/44509,51588,44509,44009
52009/52481,51263,52481,52009
75009/75131,50822,75131,75009
75009/76351,50643,76351,75009
10149/10169,50403,10169,10149
46069/46529,49942,46529,46069
53231/53379,49653,53379,53231
52009/52311,49596,52009,52311
83062/84011,49424,83062,84011
59079/59111,49281,59079,59111
52009/52339,47988,52009,52339
84039/84049,47794,84049,84039
21421/22009,47569,22009,21421
54269/66339,47540,66339,54269
46109/46521,47348,46109,46521
20231/28009,47236,28009,20231
77009/78109,46805,77009,78109
44009/44291,46487,44291,44009
75009/76359,46182,75009,76359
59009/59239,46114,59239,59009
21591/28091,46081,21591,28091
84039/84059,46015,84059,84039
65009/65271,45377,65009,65271
59091/59239,45361,59091,59239
46399/46779,45223,46779,46399
21429/22009,44794,21429,22009
44009/44501,44526,44009,44501
59009/59389,44516,59009,59389
52009/52489,44317,52009,52489
65009/65279,44309,65279,65009
77009/78101,44143,78101,77009
46779/46869,43793,46779,46869
54261/54281,43775,54261,54281
77009/77201,43747,77009,77201
46009/46651,43682,46009,46651
45321/45411,43571,45321,45411
46009/46159,43500,46009,46159
22529/27279,43276,27279,22529
28091/28399,42919,28399,28091
46771/46791,42866,46771,46791
84031/84051,42759,84031,84051
46009/46971,42709,46009,46971
44009/44551,42661,44009,44551
17151/17171,42572,17151,17171
54009/54389,42212,54009,54389
45131/46101,42207,45131,46101
58251/58351,41809,58351,58251
81111/92041,41405,81111,92041
46009/46981,40808,46009,46981
59009/59419,40637,59419,59009
30039/44531,40518,44531,30039
28009/28639,40409,28639,28009
22009/22591,40266,22009,22591
46009/46179,39440,46009,46179
17069/17171,39424,17069,17171
63031/63051,39389,63031,63051
46009/46659,39245,46659,46009
46009/46541,39020,46541,46009
46779/46841,38889,46841,46779
45329/45411,38433,45411,45329
28009/28499,37997,28499,28009
28009/29031,37989,29031,28009
21599/28091,37794,28091,21599
44299/44539,37602,44539,44299
28009/28671,37048,28009,28671
58259/58359,36817,58259,58359
46009/46149,36779,46009,46149
45321/45401,36678,45321,45401
43009/43189,36600,43009,43189
84009/84231,36316,84009,84231
45329/45439,36291,45439,45329
46009/46431,36114,46009,46431
59009/59391,35977,59391,59009
46009/47521,35854,46009,47521
84021/84031,35783,84021,84031
46009/46151,35753,46151,46009
46009/47501,35723,46009,47501
59072/59181,35674,59181,59072
44009/44559,35598,44559,44009
75009/75169,35582,75169,75009
21609/28091,35579,28091,21609
46211/46239,35393,46211,46239
46009/46069,35346,46009,46069
81129/82029,35243,82029,81129
59009/59399,35141,59009,59399
84009/84371,34760,84009,84371
52009/52389,34706,52009,52389
46009/46109,34588,46109,46009
21449/22009,34467,21449,22009
22009/22349,34417,22349,22009
28009/28631,34332,28009,28631
28009/28511,34203,28009,28511
46009/46969,33937,46969,46009
28009/28321,33848,28009,28321
58531/59072,33776,58531,59072
22009/27371,33588,22009,27371
28009/29029,33576,28009,29029
59009/59189,33469,59009,59189
75009/75139,33432,75009,75139
22009/22241,33320,22009,22241
28009/28331,33307,28009,28331
75009/76361,33252,76361,75009
84009/84391,33063,84391,84009
84009/84391,33060,84009,84391
54009/54181,33024,54009,54181
67009/67661,33023,67009,67661
59079/75009,32910,75009,59079
84009/84379,32901,84379,84009
46779/46861,32858,46861,46779
22009/28409,32719,22009,28409
46009/46269,32531,46009,46269
54009/54191,32518,54009,54191
28009/28491,32469,28009,28491
28091/28511,32381,28511,28091
80031/80071,32152,80031,80071
21379/22009,32120,21379,22009
67009/67661,32119,67661,67009
22009/27379,32115,27379,22009
45069/45139,31964,45139,45069
65009/65399,31807,65399,65009
28009/28329,31804,28329,28009
59072/59201,31662,59201,59072
10141/10161,31648,10141,10161
46008/46181,31475,46008,46181
46779/46831,31468,46831,46779
58211/58419,31410,58419,58211
65199/95109,31307,65199,95109
46009/67409,31296,46009,67409
40019/50038,31269,50038,40019
21441/28099,31243,21441,28099
10121/10169,31198,10169,10121
22009/22231,31121,22009,22231
46009/46249,30935,46009,46249
54009/54379,30915,54009,54379
59569/59579,30912,59579,59569
22009/28401,30832,28401,22009
10009/10169,30704,10009,10169
22009/27271,30680,22009,27271
54269/54289,30668,54289,54269
22009/27099,30664,27099,22009
