PATH,TOTAL_TRIPS,ORIGIN_PT_CODE,DESTINATION_PT_CODE
46101/46211,483302,46101,46211
46219/46109,300406,46219,46109
46109/45139,233941,46109,45139
46069/46009,160764,46069,46009
45139/46101,135547,45139,46101
46008/46069,119445,46008,46069
53389/53231,95824,53389,53231
46009/46101,88099,46009,46101
27389/22009,76061,27389,22009
63059/63039,75689,63059,63039
59009/59469,74781,59009,59469
28091/21449,70729,28091,21449
44009/44621,68399,44009,44621
53281/53009,68127,53281,53009
22599/22009,67710,22599,22009
44629/44009,67473,44629,44009
17201/17009,66883,17201,17009
22009/27381,66860,22009,27381
52331/52009,64929,52331,52009
17009/17201,64773,17009,17201
17041/17171,62083,17041,17171
53009/53381,59314,53009,53381
53009/53289,58550,53009,53289
47619/46779,57535,47619,46779
54261/66331,57120,54261,66331
20239/28009,56090,20239,28009
45321/45421,55582,45321,45421
45421/45329,55485,45421,45329
84011/84031,52929,84011,84031
46799/46779,52408,46799,46779
53239/53381,52345,53239,53381
46189/46009,52282,46189,46009
44509/44009,51588,44509,44009
52481/52009,51263,52481,52009
75131/75009,50822,75131,75009
76351/75009,50643,76351,75009
10169/10149,50403,10169,10149
46529/46069,49942,46529,46069
53379/53231,49653,53379,53231
52009/52311,49596,52009,52311
83062/84011,49424,83062,84011
59079/59111,49281,59079,59111
52009/52339,47988,52009,52339
84049/84039,47794,84049,84039
22009/21421,47569,22009,21421
66339/54269,47540,66339,54269
46109/46521,47348,46109,46521
28009/20231,47236,28009,20231
77009/78109,46805,77009,78109
44291/44009,46487,44291,44009
75009/76359,46182,75009,76359
59239/59009,46114,59239,59009
21591/28091,46081,21591,28091
84059/84039,46015,84059,84039
65009/65271,45377,65009,65271
59091/59239,45361,59091,59239
46779/46399,45223,46779,46399
21429/22009,44794,21429,22009
44009/44501,44526,44009,44501
59009/59389,44516,59009,59389
52009/52489,44317,52009,52489
65279/65009,44309,65279,65009
78101/77009,44143,78101,77009
46779/46869,43793,46779,46869
54261/54281,43775,54261,54281
77009/77201,43747,77009,77201
46009/46651,43682,46009,46651
45321/45411,43571,45321,45411
46009/46159,43500,46009,46159
27279/22529,43276,27279,22529
28399/28091,42919,28399,28091
46771/46791,42866,46771,46791
84031/84051,42759,84031,84051
46009/46971,42709,46009,46971
44009/44551,42661,44009,44551
17151/17171,42572,17151,17171
54009/54389,42212,54009,54389
45131/46101,42207,45131,46101
58351/58251,41809,58351,58251
81111/92041,41405,81111,92041
46009/46981,40808,46009,46981
59419/59009,40637,59419,59009
44531/30039,40518,44531,30039
28639/28009,40409,28639,28009
22009/22591,40266,22009,22591
46009/46179,39440,46009,46179
17069/17171,39424,17069,17171
63031/63051,39389,63031,63051
46659/46009,39245,46659,46009
46541/46009,39020,46541,46009
46841/46779,38889,46841,46779
45411/45329,38433,45411,45329
28499/28009,37997,28499,28009
29031/28009,37989,29031,28009
28091/21599,37794,28091,21599
44539/44299,37602,44539,44299
28009/28671,37048,28009,28671
58259/58359,36817,58259,58359
46009/46149,36779,46009,46149
45321/45401,36678,45321,45401
43009/43189,36600,43009,43189
84009/84231,36316,84009,84231
45439/45329,36291,45439,45329
46009/46431,36114,46009,46431
59391/59009,35977,59391,59009
46009/47521,35854,46009,47521
84021/84031,35783,84021,84031
46151/46009,35753,46151,46009
46009/47501,35723,46009,47501
59181/59072,35674,59181,59072
44559/44009,35598,44559,44009
75169/75009,35582,75169,75009
28091/21609,35579,28091,21609
46211/46239,35393,46211,46239
46009/46069,35346,46009,46069
82029/81129,35243,82029,81129
59009/59399,35141,59009,59399
84009/84371,34760,84009,84371
52009/52389,34706,52009,52389
46109/46009,34588,46109,46009
21449/22009,34467,21449,22009
22349/22009,34417,22349,22009
28009/28631,34332,28009,28631
28009/28511,34203,28009,28511
46969/46009,33937,46969,46009
28009/28321,33848,28009,28321
58531/59072,33776,58531,59072
22009/27371,33588,22009,27371
28009/29029,33576,28009,29029
59009/59189,33469,59009,59189
75009/75139,33432,75009,75139
22009/22241,33320,22009,22241
28009/28331,33307,28009,28331
76361/75009,33252,76361,75009
84391/84009,33063,84391,84009
84009/84391,33060,84009,84391
54009/54181,33024,54009,54181
67009/67661,33023,67009,67661
75009/59079,32910,75009,59079
84379/84009,32901,84379,84009
46861/46779,32858,46861,46779
22009/28409,32719,22009,28409
46009/46269,32531,46009,46269
54009/54191,32518,54009,54191
28009/28491,32469,28009,28491
28511/28091,32381,28511,28091
80031/80071,32152,80031,80071
21379/22009,32120,21379,22009
67661/67009,32119,67661,67009
27379/22009,32115,27379,22009
45139/45069,31964,45139,45069
65399/65009,31807,65399,65009
28329/28009,31804,28329,28009
59201/59072,31662,59201,59072
10141/10161,31648,10141,10161
46008/46181,31475,46008,46181
46831/46779,31468,46831,46779
58419/58211,31410,58419,58211
65199/95109,31307,65199,95109
46009/67409,31296,46009,67409
50038/40019,31269,50038,40019
21441/28099,31243,21441,28099
10169/10121,31198,10169,10121
22009/22231,31121,22009,22231
46009/46249,30935,46009,46249
54009/54379,30915,54009,54379
59579/59569,30912,59579,59569
28401/22009,30832,28401,22009
10009/10169,30704,10009,10169
22009/27271,30680,22009,27271
54289/54269,30668,54289,54269
27099/22009,30664,27099,22009
59009/59199,30423,59009,59199
66359/62059,30323,66359,62059
84061/85091,30282,84061,85091
59119/59073,30139,59119,59073
59009/59641,30046,59009,59641
59079/59521,30019,59079,59521
59009/59239,29881,59009,59239
22259/22009,29862,22259,22009
28649/28009,29806,28649,28009
75009/75089,29803,75009,75089
84231/84039,29795,84231,84039
84031/84061,29734,84031,84061
52071/52009,29723,52071,52009
22239/22009,29706,22239,22009
59079/58539,29695,59079,58539
17159/19039,29655,17159,19039
85099/84069,29648,85099,84069
65009/65391,29608,65009,65391
66009/66271,29309,66009,66271
75081/75009,29294,75081,75009
22009/27131,29265,22009,27131
22009/27409,29257,22009,27409
46779/46769,29126,46779,46769
77009/78119,28797,77009,78119
46079/46009,28770,46079,46009
59439/59569,28634,59439,59569
59073/75009,28626,59073,75009
45321/45439,28608,45321,45439
10161/10009,28543,10161,10009
27399/22009,28431,27399,22009
60121/60161,28421,60121,60161
46439/46008,28399,46439,46008
46141/46009,28361,46141,46009
46009/46441,28334,46009,46441
17171/20101,28314,17171,20101
45009/44861,28219,45009,44861
77209/77009,28185,77209,77009
77009/78071,28080,77009,78071
22009/22511,27974,22009,22511
46521/46531,27956,46521,46531
53271/53009,27948,53271,53009
53009/53341,27866,53009,53341
65289/65009,27821,65289,65009
64059/64009,27805,64059,64009
22009/27091,27790,22009,27091
92049/81129,27724,92049,81129
84369/84451,27705,84369,84451
22009/28519,27702,22009,28519
54371/54009,27592,54371,54009
59009/59591,27556,59009,59591
17179/17049,27481,17179,17049
84031/84249,27466,84031,84249
22009/27391,27460,22009,27391
61039/70059,27446,61039,70059
84421/84009,27434,84421,84009
52279/52009,27433,52279,52009
46391/46771,27328,46391,46771
21601/28091,27292,21601,28091
52009/52131,27283,52009,52131
46171/46009,27261,46171,46009
75009/75161,27186,75009,75161
28679/28009,27131,28679,28009
54379/53231,27124,54379,53231
58161/58119,27113,58161,58119
81211/81111,26903,81211,81111
75141/75009,26892,75141,75009
52009/50171,26829,52009,50171
65539/65009,26700,65539,65009
54261/54291,26699,54261,54291
52009/52399,26665,52009,52399
54009/54239,26626,54009,54239
44021/45061,26579,44021,45061
43181/43009,26563,43181,43009
46979/46009,26518,46979,46009
67401/46009,26507,67401,46009
59171/59009,26475,59171,59009
66051/66359,26449,66051,66359
59211/59159,26368,59211,59159
59159/59219,26234,59159,59219
22009/27351,26231,22009,27351
45069/44029,26207,45069,44029
59009/59209,26180,59009,59209
46039/45139,26167,46039,45139
65269/65009,26088,65269,65009
22009/21399,26085,22009,21399
59181/59009,26064,59181,59009
84031/84041,26042,84031,84041
78111/77009,26028,78111,77009
84009/84449,26016,84009,84449
59641/59009,25980,59641,59009
61101/60269,25961,61101,60269
59561/59711,25961,59561,59711
22249/22009,25961,22249,22009
53009/53351,25954,53009,53351
46009/65199,25919,46009,65199
59191/59072,25890,59191,59072
22009/21431,25779,22009,21431
59249/59009,25758,59249,59009
19039/19019,25737,19039,19019
19011/19031,25707,19011,19031
45009/44691,25703,45009,44691
52391/52009,25642,52391,52009
52089/52009,25615,52089,52009
75009/76369,25591,75009,76369
84219/84009,25581,84219,84009
46449/46008,25501,46449,46008
46008/46071,25497,46008,46071
53009/53279,25318,53009,53279
66351/66481,25241,66351,66481
67009/67231,25201,67009,67231
10161/10349,25148,10161,10349
84411/84009,25146,84411,84009
25421/26269,25119,25421,26269
75009/75261,25062,75009,75261
54289/54009,25049,54289,54009
22009/27369,25033,22009,27369
22009/27439,24952,22009,27439
46009/46411,24948,46009,46411
45061/45131,24933,45061,45131
59119/59159,24911,59119,59159
46521/46541,24865,46521,46541
17079/17171,24822,17079,17171
75009/76421,24819,75009,76421
46779/46859,24727,46779,46859
81111/82032,24682,81111,82032
54311/54009,24634,54311,54009
10361/10169,24566,10361,10169
27309/22529,24546,27309,22529
52319/52009,24540,52319,52009
