BusStopCode,TIME_PER_HOUR,TOTAL_TRIPS
10009,12,21271
10011,12,2405
10017,12,3275
10018,12,3886
10021,12,544
10041,12,2187
10049,12,1886
10051,12,1725
10059,12,1527
10061,12,843
10069,12,779
10071,12,3471
10079,12,4129
10081,12,1829
10089,12,2939
10091,12,5527
10099,12,3981
10101,12,1417
10109,12,580
10111,12,2704
10119,12,1916
10121,12,1470
10129,12,1273
10131,12,3218
10139,12,4128
10141,12,4350
10149,12,4432
10151,12,1939
10161,12,13818
10169,12,20438
10171,12,749
10179,12,780
10181,12,1288
10189,12,1694
10191,12,3586
10199,12,2480
10201,12,5658
10209,12,5978
10211,12,44
10219,12,51
10221,12,386
10229,12,314
10231,12,1068
10239,12,1148
10241,12,506
10249,12,619
10261,12,582
10269,12,434
10271,12,487
10279,12,575
10281,12,1842
10289,12,549
10291,12,4115
10299,12,5836
10321,12,962
10329,12,1056
10331,12,714
10339,12,1304
10341,12,2245
10349,12,2969
10351,12,1158
10359,12,492
10361,12,2210
10369,12,2435
10371,12,2357
10379,12,1867
10381,12,1011
10389,12,2063
10391,12,1127
10399,12,985
10401,12,395
10409,12,342
10411,12,244
10419,12,127
10421,12,690
10429,12,551
10431,12,329
10439,12,406
10441,12,139
10449,12,382
10451,12,217
10459,12,151
10461,12,147
10469,12,208
10471,12,357
10479,12,799
10481,12,809
10489,12,633
10499,12,977
10501,12,439
10519,12,858
10599,12,1549
10651,12,955
10659,12,442
11009,12,3782
11019,12,3833
11021,12,2674
11029,12,2890
11031,12,716
11039,12,644
11041,12,889
11049,12,827
11051,12,2695
11059,12,3701
11061,12,638
11069,12,231
11071,12,1493
11079,12,769
11081,12,223
11089,12,363
11091,12,499
11099,12,502
11101,12,2140
11109,12,1321
11111,12,2108
11119,12,2319
11131,12,441
11139,12,588
11141,12,3713
11149,12,3262
11151,12,1239
11159,12,641
11161,12,8858
11169,12,10450
11171,12,1186
11179,12,2216
11181,12,2471
11189,12,5909
11191,12,1415
11199,12,1533
11201,12,260
11209,12,493
11211,12,201
11219,12,220
11221,12,491
11229,12,495
11231,12,589
11239,12,665
11259,12,253
11261,12,2535
11269,12,1437
11271,12,213
11279,12,241
11281,12,84
11289,12,116
11291,12,821
11299,12,594
11301,12,171
11309,12,134
11311,12,71
11319,12,95
11321,12,170
11329,12,236
11331,12,260
11339,12,169
11341,12,675
11349,12,676
11351,12,715
11359,12,235
11361,12,8421
11369,12,5289
11379,12,372
11381,12,1686
11389,12,1803
11401,12,2634
11409,12,858
11419,12,2504
11429,12,426
11439,12,1409
11441,12,429
11449,12,576
11451,12,317
11459,12,272
11469,12,116
11471,12,264
11479,12,157
11481,12,393
11489,12,395
11491,12,329
11499,12,462
11511,12,7990
11519,12,8825
11521,12,4521
11529,12,3562
11531,12,497
11539,12,467
11541,12,55
11551,12,373
11561,12,164
11579,12,515
11589,12,435
11599,12,292
11609,12,93
12021,12,520
12029,12,419
12031,12,1608
12039,12,811
12041,12,788
12049,12,807
12051,12,756
12059,12,541
12061,12,1823
12069,12,883
12071,12,964
12079,12,1167
12081,12,262
12089,12,219
12091,12,6333
12099,12,6074
12101,12,5448
12109,12,4728
12111,12,202
12119,12,288
12121,12,1519
12129,12,993
12131,12,218
12139,12,239
12141,12,188
12149,12,188
12151,12,68
12169,12,211
12179,12,679
12189,12,93
12199,12,298
12201,12,614
12209,12,1018
12211,12,264
13011,12,1264
13019,12,1636
13021,12,191
13029,12,176
13031,12,275
13039,12,300
13041,12,89
13049,12,168
13051,12,1395
13059,12,1249
13062,12,288
13063,12,338
13069,12,738
13071,12,373
13079,12,378
13081,12,734
13089,12,706
13091,12,1167
13099,12,1318
13101,12,716
13109,12,958
13119,12,492
13121,12,2019
13139,12,1561
13141,12,689
13159,12,553
13169,12,44
13171,12,186
13179,12,161
13181,12,117
13189,12,111
13191,12,1282
13199,12,953
13201,12,437
13209,12,319
14009,12,7712
14011,12,112
14019,12,287
14021,12,412
14029,12,1821
14031,12,1903
14039,12,1592
14041,12,1695
14049,12,806
14051,12,702
14059,12,790
14061,12,481
14069,12,374
14071,12,337
14081,12,17
14089,12,49
14101,12,112
14109,12,133
14119,12,3127
14121,12,3396
14129,12,12628
14131,12,1319
14139,12,1275
14141,12,13542
14151,12,700
14159,12,1196
14161,12,3244
14169,12,3172
14171,12,220
14179,12,384
14189,12,745
14191,12,1542
14199,12,1351
14201,12,1207
14209,12,1290
14211,12,1511
14219,12,1046
14221,12,536
14229,12,513
14231,12,1233
14239,12,1240
14241,12,3526
14249,12,3971
14259,12,1202
14269,12,2069
14271,12,854
14279,12,4197
14281,12,1829
14291,12,1681
14299,12,728
14309,12,864
14319,12,721
14329,12,1812
14331,12,547
14339,12,1183
14341,12,293
14349,12,794
14351,12,299
14359,12,670
14369,12,1119
14379,12,1550
14381,12,3465
14389,12,2064
14391,12,691
14399,12,1233
14471,12,751
14489,12,921
14491,12,754
14499,12,561
14501,12,513
14509,12,515
14519,12,889
14521,12,13
14529,12,22
14539,12,334
15041,12,6162
15049,12,3355
15051,12,4334
15059,12,3782
15071,12,369
15079,12,356
15091,12,159
15099,12,86
15111,12,173
15119,12,115
15121,12,305
15129,12,299
15131,12,666
15139,12,1060
15141,12,751
15149,12,1647
15151,12,1303
15159,12,1547
15161,12,1380
15169,12,1869
15181,12,111
15189,12,206
15191,12,1810
15199,12,1294
15201,12,174
15209,12,486
15211,12,77
15219,12,416
15221,12,1269
15229,12,1115
16009,12,2284
16011,12,2223
16019,12,3630
16021,12,106
16029,12,208
16031,12,847
16039,12,765
16041,12,1008
16049,12,1379
16051,12,292
16059,12,415
16061,12,1221
16069,12,1467
16071,12,393
