Country,Player,Star_Player,Start_Year,End_Year,Club_Name_1,Club_Name_2,Description
Argentina,José Luis Díaz,,2004,2004,Tianjin,Teda,
Argentina,Javier Martin Musa,,2006,2006,Beijing,Guoan,
Argentina,Roberto Demus,,2006,2006,Wuhan,Guanggu,
Argentina,Matías Marchesini,,2008,2008,Shanghai,Shenhua,
Argentina,César La Paglia,,2008,2008,Wuhan,Guanggu,
Argentina,Hernán Barcos,,2009,2009,Shanghai,Shenhua,
Argentina,Hernán Barcos,,2009,2009,Shenzhen,FC,
Argentina,Sebastián Setti,,2010,2010,Changchun,Yatai,
Argentina,Matías Villavicencio,,2010,2010,Shanghai,Shenhua,
Argentina,Luis Salmerón,,2011,2011,Shanghai,Shenhua,
Argentina,Facundo Pérez Castro,,2011,2011,Shanghai,Shenhua,
Argentina,Gustavo Rodas,,2012,2012,Guizhou,HFZC,
Argentina,Rolando Schiavi,,2013,2013,Shanghai,Shenhua,
Argentina,Patricio Toranzo,,2013,2013,Shanghai,Shenhua,
Argentina,Pablo Nicolás Caballero,,2013,2013,Qingdao,Jonoon,
Argentina,Walter Iglesias,,2014,2014,Changchun,Yatai,
Argentina,Lucas Viatri,,2014,2014,Shanghai,Shenhua,
Argentina,Esteban Solari,,2014,2014,Dalian,Yifang,
Argentina,Hernán Barcos,,2015,2015,Tianjin,Teda,
Argentina,Carlos Tevez,Star,2017,2017,Shanghai,Shenhua,"Carlos Tevez arrived in Shanghai to a hero's welcome, but his stint in China ended in disaster. The forward, whose former clubs include Manchester United, Manchester City and Juventus, scored just four goals in the Chinese Super League (CSL) and missed half the matches either through injury, or was simply out of form or out of shape."
Argentina,Nicolás Aguirre,,2018,2018,Chongqing, Lifan,
Argentina,Nicolás Gaitán,,2018,2018,Dalian,Yifang,
Argentina,Luciano Olguín,,2010,2011,Tianjin,Teda,
Argentina,Marcos Flores,,2011,2012,Henan,Jianye,
Argentina,Darío Conca,,2011,2013,Guangzhou,Evergrande,
Argentina,Pablo Brandán,,2012,2013,Liaoning,Whowin,
Argentina,Leonardo Pisculichi,,2012,2013,Shandong,Luneng,
Argentina,Pablo Batalla,,2014,2015,Beijing,Guoan,
Argentina,Walter Montillo,,2014,2016,Shandong,Luneng,
Argentina,Darío Conca,,2015,2016,Shanghai,SIPG,
Argentina,Emanuel Gigliotti,,2015,2016,Chongqing,Lifan,
Argentina,Ezequiel Lavezzi,Star,2016,2019,Hebei,China Fortune,"Best known for his two hugely successful stints with Napoli and PSG, he only played 10 games in his debut season owing to injuries and failed to score a goal. However, in the following two seasons, he scored 30 goals in 47 games."
Argentina,Javier Mascherano,Star,2018,2019,Hebei,China Fortune,"The former captain of Argentina from 2008 to 2011, Mascherano was with Barcelona for 7 years. A defensive midfielder, he scored one goal at Barcelona and equalled that goal tally at Hebei China Fortune."
Argentina,Augusto Fernández,,2018,2019,Beijing,Renhe,
Australia,Matt McKay,,2009,2009,Changchun,Yatai,
Australia,Mark Milligan,,2009,2009,Shanghai,Shenhua,
Australia,Mark Bridge,,2009,2009,Tianjin,Teda,
Australia,Brendon Šantalab,,2009,2009,Chengdu,Blades,
Australia,Chris Coyne,,2010,2010,Liaoning,Whowin,
Australia,Jonas Salley,,2011,2011,Chengdu,Blades,
Australia,Brendon Šantalab,,2011,2011,Chengdu,Blades,
Australia,Adam Kwasnik,,2011,2011,Chengdu,Blades,
Australia,Alex Wilkinson,,2011,2011,Jiangsu,Suning,
Australia,Bruce Djite,,2011,2011,Jiangsu,Suning,
Australia,Dean Heffernan,,2011,2011,Liaoning,Whowin,
Australia,Joel Griffiths,,2012,2012,Shanghai,Shenhua,
Australia,Jonas Salley,,2012,2012,Shanghai,Shenxin,
Australia,Mile Sterjovski,,2012,2012,Dalian,Yifang,
Australia,Milan Susak,,2012,2012,Tianjin,Teda,
Australia,Joel Griffiths,,2013,2013,Qingdao,Jonoon,
Australia,Matt McKay,,2013,2013,Changchun,Yatai,
Australia,Michael Marrone,,2013,2013,Shanghai,Shenxin,
Australia,Erik Paartalu,,2013,2013,Tianjin,Teda,
Australia,Bernie Ibini-Isei,,2013,2013,Shanghai,SIPG,
Australia,Eddy Bosnar,,2013,2013,Guangzhou,RF,
Australia,Adam Hughes,,2014,2014,Harbin,Yiteng,
Australia,Billy Celeski,,2014,2014,Liaoning,Whowin,
