id,driverRef,season,roundId,raceName,lap,time,position
1,vettel,2016,1,Australian Grand Prix,1,96.916,1
2,raikkonen,2016,1,Australian Grand Prix,1,98.43,2
3,rosberg,2016,1,Australian Grand Prix,1,99.316,3
4,max_verstappen,2016,1,Australian Grand Prix,1,100.074,4
5,massa,2016,1,Australian Grand Prix,1,101.024,5
6,hamilton,2016,1,Australian Grand Prix,1,101.289,6
7,sainz,2016,1,Australian Grand Prix,1,102.065,7
8,hulkenberg,2016,1,Australian Grand Prix,1,103.434,8
9,ricciardo,2016,1,Australian Grand Prix,1,103.776,9
10,alonso,2016,1,Australian Grand Prix,1,104.547,10
11,perez,2016,1,Australian Grand Prix,1,105.079,11
12,button,2016,1,Australian Grand Prix,1,105.509,12
13,jolyon_palmer,2016,1,Australian Grand Prix,1,106.255,13
14,wehrlein,2016,1,Australian Grand Prix,1,106.978,14
15,ericsson,2016,1,Australian Grand Prix,1,107.552,15
16,nasr,2016,1,Australian Grand Prix,1,108.072,16
17,bottas,2016,1,Australian Grand Prix,1,108.329,17
18,grosjean,2016,1,Australian Grand Prix,1,109.379,18
19,haryanto,2016,1,Australian Grand Prix,1,109.982,19
20,gutierrez,2016,1,Australian Grand Prix,1,113.319,20
21,kevin_magnussen,2016,1,Australian Grand Prix,1,180.423,21
22,vettel,2016,1,Australian Grand Prix,2,91.664,1
23,raikkonen,2016,1,Australian Grand Prix,2,91.891,2
24,rosberg,2016,1,Australian Grand Prix,2,92.037,3
25,max_verstappen,2016,1,Australian Grand Prix,2,92.325,4
26,massa,2016,1,Australian Grand Prix,2,92.927,5
27,hamilton,2016,1,Australian Grand Prix,2,93.401,6
28,sainz,2016,1,Australian Grand Prix,2,93.53,7
29,hulkenberg,2016,1,Australian Grand Prix,2,93.916,8
30,ricciardo,2016,1,Australian Grand Prix,2,94.27,9
31,alonso,2016,1,Australian Grand Prix,2,94.787,10
32,perez,2016,1,Australian Grand Prix,2,95.015,11
33,button,2016,1,Australian Grand Prix,2,95.142,12
34,jolyon_palmer,2016,1,Australian Grand Prix,2,95.29,13
35,wehrlein,2016,1,Australian Grand Prix,2,95.39,14
36,ericsson,2016,1,Australian Grand Prix,2,95.302,15
37,nasr,2016,1,Australian Grand Prix,2,95.315,16
38,bottas,2016,1,Australian Grand Prix,2,95.436,17
39,grosjean,2016,1,Australian Grand Prix,2,95.688,18
40,haryanto,2016,1,Australian Grand Prix,2,95.893,19
41,gutierrez,2016,1,Australian Grand Prix,2,103.119,20
42,kevin_magnussen,2016,1,Australian Grand Prix,2,106.207,21
43,vettel,2016,1,Australian Grand Prix,3,92.167,1
44,raikkonen,2016,1,Australian Grand Prix,3,92.341,2
45,rosberg,2016,1,Australian Grand Prix,3,92.747,3
46,max_verstappen,2016,1,Australian Grand Prix,3,92.894,4
47,massa,2016,1,Australian Grand Prix,3,93.309,5
48,hamilton,2016,1,Australian Grand Prix,3,93.092,6
49,sainz,2016,1,Australian Grand Prix,3,92.952,7
50,hulkenberg,2016,1,Australian Grand Prix,3,94.176,8
51,ricciardo,2016,1,Australian Grand Prix,3,93.95,9
52,alonso,2016,1,Australian Grand Prix,3,94.252,10
53,perez,2016,1,Australian Grand Prix,3,94.312,11
54,button,2016,1,Australian Grand Prix,3,94.933,12
55,jolyon_palmer,2016,1,Australian Grand Prix,3,94.565,13
56,wehrlein,2016,1,Australian Grand Prix,3,94.712,14
57,ericsson,2016,1,Australian Grand Prix,3,95.009,15
58,nasr,2016,1,Australian Grand Prix,3,95.265,16
59,bottas,2016,1,Australian Grand Prix,3,95.314,17
60,grosjean,2016,1,Australian Grand Prix,3,95.158,18
61,haryanto,2016,1,Australian Grand Prix,3,95.186,19
62,gutierrez,2016,1,Australian Grand Prix,3,93.122,20
63,kevin_magnussen,2016,1,Australian Grand Prix,3,97.229,21
64,vettel,2016,1,Australian Grand Prix,4,92.014,1
65,raikkonen,2016,1,Australian Grand Prix,4,92.321,2
66,rosberg,2016,1,Australian Grand Prix,4,92.141,3
67,max_verstappen,2016,1,Australian Grand Prix,4,92.538,4
68,hamilton,2016,1,Australian Grand Prix,4,92.062,5
69,massa,2016,1,Australian Grand Prix,4,94.503,6
70,sainz,2016,1,Australian Grand Prix,4,93.653,7
71,hulkenberg,2016,1,Australian Grand Prix,4,94.128,8
72,ricciardo,2016,1,Australian Grand Prix,4,93.914,9
73,alonso,2016,1,Australian Grand Prix,4,94.307,10
74,perez,2016,1,Australian Grand Prix,4,94.222,11
75,button,2016,1,Australian Grand Prix,4,93.981,12
76,jolyon_palmer,2016,1,Australian Grand Prix,4,94.042,13
77,wehrlein,2016,1,Australian Grand Prix,4,94.109,14
78,ericsson,2016,1,Australian Grand Prix,4,94.191,15
79,nasr,2016,1,Australian Grand Prix,4,94.43,16
80,bottas,2016,1,Australian Grand Prix,4,94.284,17
81,grosjean,2016,1,Australian Grand Prix,4,94.444,18
82,haryanto,2016,1,Australian Grand Prix,4,94.737,19
83,gutierrez,2016,1,Australian Grand Prix,4,92.998,20
84,kevin_magnussen,2016,1,Australian Grand Prix,4,94.72,21
85,vettel,2016,1,Australian Grand Prix,5,92.273,1
86,raikkonen,2016,1,Australian Grand Prix,5,92.139,2
87,rosberg,2016,1,Australian Grand Prix,5,91.575,3
88,max_verstappen,2016,1,Australian Grand Prix,5,92.52,4
89,hamilton,2016,1,Australian Grand Prix,5,91.629,5
90,massa,2016,1,Australian Grand Prix,5,93.119,6
91,sainz,2016,1,Australian Grand Prix,5,93.372,7
92,ricciardo,2016,1,Australian Grand Prix,5,93.015,8
93,hulkenberg,2016,1,Australian Grand Prix,5,94.967,9
94,alonso,2016,1,Australian Grand Prix,5,93.908,10
95,perez,2016,1,Australian Grand Prix,5,94.385,11
96,button,2016,1,Australian Grand Prix,5,94.504,12
97,jolyon_palmer,2016,1,Australian Grand Prix,5,94.488,13
98,wehrlein,2016,1,Australian Grand Prix,5,94.235,14
99,ericsson,2016,1,Australian Grand Prix,5,94.229,15
100,bottas,2016,1,Australian Grand Prix,5,94.591,16
101,nasr,2016,1,Australian Grand Prix,5,95.644,17
102,grosjean,2016,1,Australian Grand Prix,5,94.503,18
103,haryanto,2016,1,Australian Grand Prix,5,94.675,19
104,gutierrez,2016,1,Australian Grand Prix,5,93.184,20
105,kevin_magnussen,2016,1,Australian Grand Prix,5,95.346,21
106,vettel,2016,1,Australian Grand Prix,6,92.204,1
107,raikkonen,2016,1,Australian Grand Prix,6,92.24,2
108,rosberg,2016,1,Australian Grand Prix,6,92.468,3
109,max_verstappen,2016,1,Australian Grand Prix,6,92.89,4
110,hamilton,2016,1,Australian Grand Prix,6,92.281,5
111,massa,2016,1,Australian Grand Prix,6,93.225,6
112,sainz,2016,1,Australian Grand Prix,6,93.322,7
