node_id,name,jurisdiction,jurisdiction_description,country_codes,countries,incorporation_date,inactivation_date,struck_off_date,closed_date,ibcRUC,status,company_type,service_provider,sourceID,valid_until,note
82070160,Global Crossing Asia Holdings Ltd.,XX,Undetermined,,,,,,,,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026451,Monument Resources Petroleum Limited,BM,Bermuda,BMU;GBR,Bermuda;United Kingdom,09-SEP-1993,,,02-SEP-1997,EC 18659,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026459,Xinle International Holdings Limited,BM,Bermuda,BMU,Bermuda,28-OCT-1993,,,29-APR-1998,EC 18809,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026466,CEF MB Investments Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,13-DEC-1993,,,21-OCT-1997,EC 18932,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026443,Golden Spike Pasiriaman Limited,BM,Bermuda,BMU,Bermuda,03-JAN-1995,,,23-FEB-2014,EC 20338,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026529,A P Resources Limited,BM,Bermuda,MYS,Malaysia,30-SEP-1994,,,11-OCT-2012,EC 20006,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026530,A P Forest Products Limited,BM,Bermuda,MYS,Malaysia,30-SEP-1994,,,11-OCT-2012,EC 20001,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82036730,Jobs DB Holdings Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,10-DEC-1999,,,23-JUL-2008,EC 27453,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025054,HBA Insurance Ltd.,BM,Bermuda,BMU,Bermuda,09-OCT-1986,,,15-DEC-1997,EC 12378,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025177,ACB  International Ltd.,BM,Bermuda,BMU,Bermuda,06-APR-1988,,,03-JUL-1997,EC 13591,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025261,SPO MPV Limited,BM,Bermuda,BMU,Bermuda,12-JUL-1989,,,21-AUG-1997,EC 14811,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025265,Monument Exploracion Limited,BM,Bermuda,BMU,Bermuda,26-JUN-1989,,,02-SEP-1997,EC 14762,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025271,Wah Kwong Shipping Holdings Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,23-AUG-1989,,,08-SEP-1997,EC 14943,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025233,Capa Management Company Limited,BM,Bermuda,BMU,Bermuda,16-JUN-1989,,,11-JUN-1997,EC 14284,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025150,A.I.C. Services Limited,BM,Bermuda,BMU,Bermuda,15-JUL-1987,,,12-JAN-1999,EC 13001,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025199,FCA Insurance Limited,BM,Bermuda,BMU,Bermuda,10-NOV-1988,,,09-JAN-2013,EC 14146,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025886,Thomas Miller (Bermuda) Ltd.,BM,Bermuda,,,12-APR-1999,,,15-JUN-1999,EC 26355,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025332,Asia Equity Holdings Limited,BM,Bermuda,BMU;HKG,Bermuda;Hong Kong,20-SEP-1990,,,28-JUL-1997,EC15848,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026099,A.A.L.C. One Limited,BM,Bermuda,BMU,Bermuda,28-MAY-1993,,,11-OCT-2012,EC 18373,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026073,GTE Reinsurance Management Limited,BM,Bermuda,BMU,Bermuda,25-FEB-1993,,,09-JAN-2013,EC 18081,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026077,Golden Spike Energy Yemen Limited,BM,Bermuda,BMU,Bermuda,25-FEB-1993,,,12-OCT-2012,EC 18082,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82025989,SPO Craft Limited,BM,Bermuda,BMU,Bermuda,02-JUL-1991,,,21-AUG-1997,EC 16598,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82026054,Region Air (Bermuda) Ltd.,BM,Bermuda,BMU;SGP,Bermuda;Singapore,16-NOV-1992,,,01-MAR-2013,EC 17800,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82024347,Kamphaeng Saen Energy Ltd.,BM,Bermuda,BMU,Bermuda,03-SEP-2014,,,,49442,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
82021443,Gold Palm Private Trust Company Limited,BM,Bermuda,BMU,Bermuda,14-JUN-2013,,,03-JUL-2013,47825,,,Appleby,Paradise Papers - Appleby,Appleby data is current through 2014,
