id,driverRef,season,roundId,raceName,lap,duration,stop
496,kevin_magnussen,2016,1,Australian Grand Prix,1,27.831,1
497,sainz,2016,1,Australian Grand Prix,8,22.414,1
498,nasr,2016,1,Australian Grand Prix,10,22.701,1
499,massa,2016,1,Australian Grand Prix,11,21.55,1
500,wehrlein,2016,1,Australian Grand Prix,11,26.206,1
501,ericsson,2016,1,Australian Grand Prix,11,22.357,1
502,rosberg,2016,1,Australian Grand Prix,12,21.531,1
503,ricciardo,2016,1,Australian Grand Prix,12,22.245,1
504,alonso,2016,1,Australian Grand Prix,12,21.796,1
505,jolyon_palmer,2016,1,Australian Grand Prix,12,23.286,1
506,haryanto,2016,1,Australian Grand Prix,12,23.224,1
507,vettel,2016,1,Australian Grand Prix,13,21.339,1
508,max_verstappen,2016,1,Australian Grand Prix,13,22.303,1
509,button,2016,1,Australian Grand Prix,15,22.616,1
510,raikkonen,2016,1,Australian Grand Prix,16,22.508,1
511,hamilton,2016,1,Australian Grand Prix,16,21.94,1
512,hulkenberg,2016,1,Australian Grand Prix,16,22.167,1
513,perez,2016,1,Australian Grand Prix,16,24.719,1
514,bottas,2016,1,Australian Grand Prix,17,21.376,1
515,kevin_magnussen,2016,1,Australian Grand Prix,16,22.079,2
516,vettel,2016,1,Australian Grand Prix,18,1089.312,2
517,rosberg,2016,1,Australian Grand Prix,18,1089.303,2
518,raikkonen,2016,1,Australian Grand Prix,18,1089.365,2
519,ricciardo,2016,1,Australian Grand Prix,18,1089.822,2
520,max_verstappen,2016,1,Australian Grand Prix,18,1089.372,2
521,sainz,2016,1,Australian Grand Prix,18,1089.971,2
522,hamilton,2016,1,Australian Grand Prix,18,1090.087,2
523,massa,2016,1,Australian Grand Prix,18,1089.805,2
524,grosjean,2016,1,Australian Grand Prix,18,1089.417,1
525,hulkenberg,2016,1,Australian Grand Prix,18,1089.155,2
526,hulkenberg,2016,2,Bahrain Grand Prix,1,31.931,1
527,perez,2016,2,Bahrain Grand Prix,2,30.326,1
528,sainz,2016,2,Bahrain Grand Prix,2,28.401,1
529,ricciardo,2016,2,Bahrain Grand Prix,6,24.541,1
530,massa,2016,2,Bahrain Grand Prix,7,24.093,1
531,bottas,2016,2,Bahrain Grand Prix,8,24.944,1
532,gutierrez,2016,2,Bahrain Grand Prix,8,32.793,1
533,vandoorne,2016,2,Bahrain Grand Prix,9,24.604,1
534,bottas,2016,2,Bahrain Grand Prix,9,19.369,2
535,max_verstappen,2016,2,Bahrain Grand Prix,10,25.81,1
536,nasr,2016,2,Bahrain Grand Prix,10,26.246,1
537,grosjean,2016,2,Bahrain Grand Prix,11,25.739,1
538,wehrlein,2016,2,Bahrain Grand Prix,11,26.236,1
539,raikkonen,2016,2,Bahrain Grand Prix,12,24.72,1
540,kevin_magnussen,2016,2,Bahrain Grand Prix,12,26.876,1
541,haryanto,2016,2,Bahrain Grand Prix,12,26.382,1
542,rosberg,2016,2,Bahrain Grand Prix,13,24.934,1
543,hamilton,2016,2,Bahrain Grand Prix,13,24.512,1
544,ericsson,2016,2,Bahrain Grand Prix,13,24.775,1
545,perez,2016,2,Bahrain Grand Prix,14,25.068,2
546,kvyat,2016,2,Bahrain Grand Prix,16,24.419,1
547,hulkenberg,2016,2,Bahrain Grand Prix,16,24.93,2
548,sainz,2016,2,Bahrain Grand Prix,20,34.978,2
549,ricciardo,2016,2,Bahrain Grand Prix,24,26.631,2
550,kevin_magnussen,2016,2,Bahrain Grand Prix,24,24.383,2
551,vandoorne,2016,2,Bahrain Grand Prix,25,24.682,2
552,max_verstappen,2016,2,Bahrain Grand Prix,26,25.594,2
553,grosjean,2016,2,Bahrain Grand Prix,27,26.151,2
554,hamilton,2016,2,Bahrain Grand Prix,28,25.03,2
555,raikkonen,2016,2,Bahrain Grand Prix,29,25.222,2
556,grosjean,2016,3,Chinese Grand Prix,1,58.563,1
557,raikkonen,2016,3,Chinese Grand Prix,1,31.134,1
558,hamilton,2016,3,Chinese Grand Prix,1,29.322,1
559,nasr,2016,3,Chinese Grand Prix,1,36.854,1
560,ricciardo,2016,3,Chinese Grand Prix,3,24.392,1
561,kvyat,2016,3,Chinese Grand Prix,4,24.084,1
562,perez,2016,3,Chinese Grand Prix,4,23.215,1
563,vettel,2016,3,Chinese Grand Prix,4,30.115,1
564,hulkenberg,2016,3,Chinese Grand Prix,4,27.683,1
565,sainz,2016,3,Chinese Grand Prix,4,25.754,1
566,button,2016,3,Chinese Grand Prix,4,24.072,1
567,bottas,2016,3,Chinese Grand Prix,4,22.682,1
568,max_verstappen,2016,3,Chinese Grand Prix,4,30.034,1
569,ericsson,2016,3,Chinese Grand Prix,4,23.955,1
570,kevin_magnussen,2016,3,Chinese Grand Prix,4,23.158,1
571,hamilton,2016,3,Chinese Grand Prix,5,25.179,2
572,hamilton,2016,3,Chinese Grand Prix,6,22.301,3
573,raikkonen,2016,3,Chinese Grand Prix,14,23.296,2
574,wehrlein,2016,3,Chinese Grand Prix,15,26.969,1
575,jolyon_palmer,2016,3,Chinese Grand Prix,15,22.799,1
576,alonso,2016,3,Chinese Grand Prix,16,22.874,1
577,vettel,2016,3,Chinese Grand Prix,17,22.276,2
578,hulkenberg,2016,3,Chinese Grand Prix,17,23.867,2
579,perez,2016,3,Chinese Grand Prix,18,22.485,2
580,haryanto,2016,3,Chinese Grand Prix,18,23.183,1
581,kvyat,2016,3,Chinese Grand Prix,19,22.607,2
582,massa,2016,3,Chinese Grand Prix,19,22.124,1
583,sainz,2016,3,Chinese Grand Prix,19,22.832,2
584,ricciardo,2016,3,Chinese Grand Prix,19,22.461,2
585,gutierrez,2016,3,Chinese Grand Prix,19,23.878,1
586,kevin_magnussen,2017,1,Australian Grand Prix,1,31.336,1
587,stroll,2017,1,Australian Grand Prix,5,22.293,1
588,vandoorne,2017,1,Australian Grand Prix,9,39.562,1
589,ocon,2017,1,Australian Grand Prix,15,22.154,1
590,giovinazzi,2017,1,Australian Grand Prix,15,28.591,1
591,alonso,2017,1,Australian Grand Prix,16,22.484,1
592,hulkenberg,2017,1,Australian Grand Prix,16,23.13,1
593,hamilton,2017,1,Australian Grand Prix,17,21.709,1
594,perez,2017,1,Australian Grand Prix,17,22.045,1
595,sainz,2017,1,Australian Grand Prix,18,21.762,1
596,massa,2017,1,Australian Grand Prix,20,21.568,1
597,vettel,2017,1,Australian Grand Prix,23,21.988,1
598,bottas,2017,1,Australian Grand Prix,25,21.44,1
599,max_verstappen,2017,1,Australian Grand Prix,25,22.208,1
600,raikkonen,2017,1,Australian Grand Prix,26,22.033,1
601,stroll,2017,1,Australian Grand Prix,29,22.38,2
602,hulkenberg,2017,1,Australian Grand Prix,30,23.159,2
603,kvyat,2017,1,Australian Grand Prix,34,25.559,1
604,kevin_magnussen,2017,1,Australian Grand Prix,44,22.189,2
605,kvyat,2017,1,Australian Grand Prix,49,24.026,2
606,hulkenberg,2017,2,Chinese Grand Prix,1,23.55,1
607,vettel,2017,2,Chinese Grand Prix,2,22.906,1
608,kvyat,2017,2,Chinese Grand Prix,2,24.016,1
609,alonso,2017,2,Chinese Grand Prix,2,24.25,1
610,massa,2017,2,Chinese Grand Prix,2,23.123,1
611,perez,2017,2,Chinese Grand Prix,2,24.03,1
612,kevin_magnussen,2017,2,Chinese Grand Prix,2,23.809,1
613,ericsson,2017,2,Chinese Grand Prix,2,27.934,1
614,ocon,2017,2,Chinese Grand Prix,2,17.673,1
615,grosjean,2017,2,Chinese Grand Prix,2,30.654,1
616,giovinazzi,2017,2,Chinese Grand Prix,2,29.443,1
617,vandoorne,2017,2,Chinese Grand Prix,2,25.146,1
618,hamilton,2017,2,Chinese Grand Prix,4,22.999,1
619,bottas,2017,2,Chinese Grand Prix,4,32.287,1
620,ricciardo,2017,2,Chinese Grand Prix,4,17.34,1
621,raikkonen,2017,2,Chinese Grand Prix,4,23.847,1
622,max_verstappen,2017,2,Chinese Grand Prix,4,23.071,1
623,vettel,2017,2,Chinese Grand Prix,4,17.354,2
624,sainz,2017,2,Chinese Grand Prix,4,17.337,1
625,ocon,2017,2,Chinese Grand Prix,4,33.491,2
626,alonso,2017,2,Chinese Grand Prix,4,17.304,2
627,kvyat,2017,2,Chinese Grand Prix,4,17.32,2
628,massa,2017,2,Chinese Grand Prix,4,17.324,2
629,perez,2017,2,Chinese Grand Prix,4,17.416,2
630,kevin_magnussen,2017,2,Chinese Grand Prix,4,17.296,2
631,jolyon_palmer,2017,2,Chinese Grand Prix,4,17.291,1
632,vandoorne,2017,2,Chinese Grand Prix,4,17.325,2
633,hulkenberg,2017,2,Chinese Grand Prix,4,17.336,2
634,ericsson,2017,2,Chinese Grand Prix,4,17.341,2
635,grosjean,2017,2,Chinese Grand Prix,4,17.303,2
636,stroll,2017,3,Bahrain Grand Prix,8,24.915,1
637,vettel,2017,3,Bahrain Grand Prix,10,24.702,1
638,max_verstappen,2017,3,Bahrain Grand Prix,11,25.174,1
639,ocon,2017,3,Bahrain Grand Prix,11,24.664,1
640,wehrlein,2017,3,Bahrain Grand Prix,11,26.542,1
641,raikkonen,2017,3,Bahrain Grand Prix,12,26.43,1
642,grosjean,2017,3,Bahrain Grand Prix,12,25.075,1
643,sainz,2017,3,Bahrain Grand Prix,12,25.001,1
644,bottas,2017,3,Bahrain Grand Prix,13,28.368,1
645,hamilton,2017,3,Bahrain Grand Prix,13,30.687,1
646,ricciardo,2017,3,Bahrain Grand Prix,13,25.312,1
647,massa,2017,3,Bahrain Grand Prix,13,25.704,1
648,hulkenberg,2017,3,Bahrain Grand Prix,13,26.634,1
649,perez,2017,3,Bahrain Grand Prix,13,24.332,1
650,jolyon_palmer,2017,3,Bahrain Grand Prix,13,27.466,1
651,alonso,2017,3,Bahrain Grand Prix,13,24.922,1
652,kvyat,2017,3,Bahrain Grand Prix,13,25.204,1
653,bottas,2017,3,Bahrain Grand Prix,30,24.54,2
654,grosjean,2017,3,Bahrain Grand Prix,31,24.965,2
655,vettel,2017,3,Bahrain Grand Prix,33,24.314,2
656,ericsson,2017,3,Bahrain Grand Prix,33,25.576,1
657,perez,2017,3,Bahrain Grand Prix,36,24.63,2
658,hulkenberg,2017,3,Bahrain Grand Prix,36,25.135,2
659,alonso,2017,3,Bahrain Grand Prix,36,24.723,2
660,raikkonen,2017,3,Bahrain Grand Prix,37,25.856,2
661,massa,2017,3,Bahrain Grand Prix,37,24.24,2
662,ocon,2017,3,Bahrain Grand Prix,37,24.505,2
663,jolyon_palmer,2017,3,Bahrain Grand Prix,37,26.42,2
664,ricciardo,2017,3,Bahrain Grand Prix,39,25.2,2
665,hamilton,2017,3,Bahrain Grand Prix,41,30.682,2
