id,constructorRef,driverRef,season,roundId,grid,laps,position,points,status,raceName
1,mercedes,rosberg,2016,1,2,57,1,25,Finished,Australian Grand Prix
2,mercedes,hamilton,2016,1,1,57,2,18,Finished,Australian Grand Prix
3,ferrari,vettel,2016,1,3,57,3,15,Finished,Australian Grand Prix
4,red_bull,ricciardo,2016,1,8,57,4,12,Finished,Australian Grand Prix
5,williams,massa,2016,1,6,57,5,10,Finished,Australian Grand Prix
6,haas,grosjean,2016,1,19,57,6,8,Finished,Australian Grand Prix
7,force_india,hulkenberg,2016,1,10,57,7,6,Finished,Australian Grand Prix
8,williams,bottas,2016,1,16,57,8,4,Finished,Australian Grand Prix
9,toro_rosso,sainz,2016,1,7,57,9,2,Finished,Australian Grand Prix
10,toro_rosso,max_verstappen,2016,1,5,57,10,1,Finished,Australian Grand Prix
11,renault,jolyon_palmer,2016,1,13,57,11,0,Finished,Australian Grand Prix
12,renault,kevin_magnussen,2016,1,14,57,12,0,Finished,Australian Grand Prix
13,force_india,perez,2016,1,9,57,13,0,Finished,Australian Grand Prix
14,mclaren,button,2016,1,12,56,14,0,+1 Lap,Australian Grand Prix
15,sauber,nasr,2016,1,17,56,15,0,+1 Lap,Australian Grand Prix
16,manor,wehrlein,2016,1,21,56,16,0,+1 Lap,Australian Grand Prix
17,sauber,ericsson,2016,1,15,38,17,0,Engine,Australian Grand Prix
18,ferrari,raikkonen,2016,1,4,21,18,0,Engine,Australian Grand Prix
19,manor,haryanto,2016,1,22,17,19,0,Mechanical,Australian Grand Prix
20,haas,gutierrez,2016,1,20,16,20,0,Collision,Australian Grand Prix
21,mclaren,alonso,2016,1,11,16,21,0,Collision,Australian Grand Prix
22,red_bull,kvyat,2016,1,18,0,22,0,Retired,Australian Grand Prix
23,mercedes,rosberg,2016,2,2,57,1,25,Finished,Bahrain Grand Prix
24,ferrari,raikkonen,2016,2,4,57,2,18,Finished,Bahrain Grand Prix
25,mercedes,hamilton,2016,2,1,57,3,15,Finished,Bahrain Grand Prix
26,red_bull,ricciardo,2016,2,5,57,4,12,Finished,Bahrain Grand Prix
27,haas,grosjean,2016,2,9,57,5,10,Finished,Bahrain Grand Prix
28,toro_rosso,max_verstappen,2016,2,10,57,6,8,Finished,Bahrain Grand Prix
29,red_bull,kvyat,2016,2,15,56,7,6,+1 Lap,Bahrain Grand Prix
30,williams,massa,2016,2,7,56,8,4,+1 Lap,Bahrain Grand Prix
31,williams,bottas,2016,2,6,56,9,2,+1 Lap,Bahrain Grand Prix
32,mclaren,vandoorne,2016,2,12,56,10,1,+1 Lap,Bahrain Grand Prix
33,renault,kevin_magnussen,2016,2,22,56,11,0,+1 Lap,Bahrain Grand Prix
34,sauber,ericsson,2016,2,17,56,12,0,+1 Lap,Bahrain Grand Prix
35,manor,wehrlein,2016,2,16,56,13,0,+1 Lap,Bahrain Grand Prix
36,sauber,nasr,2016,2,21,56,14,0,+1 Lap,Bahrain Grand Prix
37,force_india,hulkenberg,2016,2,8,56,15,0,+1 Lap,Bahrain Grand Prix
38,force_india,perez,2016,2,18,56,16,0,+1 Lap,Bahrain Grand Prix
39,manor,haryanto,2016,2,20,56,17,0,+1 Lap,Bahrain Grand Prix
40,toro_rosso,sainz,2016,2,11,29,18,0,Retired,Bahrain Grand Prix
41,haas,gutierrez,2016,2,13,9,19,0,Retired,Bahrain Grand Prix
42,mclaren,button,2016,2,14,6,20,0,Power Unit,Bahrain Grand Prix
43,ferrari,vettel,2016,2,3,0,21,0,Engine,Bahrain Grand Prix
44,renault,jolyon_palmer,2016,2,19,0,22,0,Hydraulics,Bahrain Grand Prix
45,mercedes,rosberg,2016,3,1,56,1,25,Finished,Chinese Grand Prix
46,ferrari,vettel,2016,3,4,56,2,18,Finished,Chinese Grand Prix
47,red_bull,kvyat,2016,3,6,56,3,15,Finished,Chinese Grand Prix
48,red_bull,ricciardo,2016,3,2,56,4,12,Finished,Chinese Grand Prix
49,ferrari,raikkonen,2016,3,3,56,5,10,Finished,Chinese Grand Prix
50,williams,massa,2016,3,10,56,6,8,Finished,Chinese Grand Prix
51,mercedes,hamilton,2016,3,22,56,7,6,Finished,Chinese Grand Prix
52,toro_rosso,max_verstappen,2016,3,9,56,8,4,Finished,Chinese Grand Prix
53,toro_rosso,sainz,2016,3,8,56,9,2,Finished,Chinese Grand Prix
54,williams,bottas,2016,3,5,56,10,1,Finished,Chinese Grand Prix
55,force_india,perez,2016,3,7,56,11,0,Finished,Chinese Grand Prix
56,mclaren,alonso,2016,3,11,56,12,0,Finished,Chinese Grand Prix
57,mclaren,button,2016,3,12,56,13,0,Finished,Chinese Grand Prix
58,haas,gutierrez,2016,3,18,55,14,0,+1 Lap,Chinese Grand Prix
59,force_india,hulkenberg,2016,3,13,55,15,0,+1 Lap,Chinese Grand Prix
60,sauber,ericsson,2016,3,15,55,16,0,+1 Lap,Chinese Grand Prix
61,renault,kevin_magnussen,2016,3,17,55,17,0,+1 Lap,Chinese Grand Prix
62,manor,wehrlein,2016,3,21,55,18,0,+1 Lap,Chinese Grand Prix
63,haas,grosjean,2016,3,14,55,19,0,+1 Lap,Chinese Grand Prix
64,sauber,nasr,2016,3,16,55,20,0,+1 Lap,Chinese Grand Prix
65,manor,haryanto,2016,3,20,55,21,0,+1 Lap,Chinese Grand Prix
66,renault,jolyon_palmer,2016,3,19,55,22,0,+1 Lap,Chinese Grand Prix
67,ferrari,vettel,2017,1,2,57,1,25,Finished,Australian Grand Prix
