DEPLOYMENT_PROVINCE,1965-03-01 00:00:00,1965-04-01 00:00:00,1965-05-01 00:00:00,1965-06-01 00:00:00,1965-07-01 00:00:00,1965-08-01 00:00:00,1965-09-01 00:00:00,1965-10-01 00:00:00,1965-11-01 00:00:00,1965-12-01 00:00:00,1966-01-01 00:00:00,1966-02-01 00:00:00,1966-03-01 00:00:00,1966-04-01 00:00:00,1966-05-01 00:00:00,1966-06-01 00:00:00,1966-07-01 00:00:00,1966-08-01 00:00:00,1966-09-01 00:00:00,1966-10-01 00:00:00,1966-11-01 00:00:00,1966-12-01 00:00:00,1967-01-01 00:00:00,1967-02-01 00:00:00,1967-03-01 00:00:00,1967-04-01 00:00:00,1967-05-01 00:00:00,1967-06-01 00:00:00,1967-07-01 00:00:00,1967-08-01 00:00:00,1967-09-01 00:00:00,1967-10-01 00:00:00,1967-11-01 00:00:00,1967-12-01 00:00:00,1968-01-01 00:00:00,1968-02-01 00:00:00,1968-03-01 00:00:00,1968-04-01 00:00:00,1968-05-01 00:00:00,1968-06-01 00:00:00,1968-07-01 00:00:00,1968-08-01 00:00:00,1968-09-01 00:00:00,1968-10-01 00:00:00,1968-11-01 00:00:00,1968-12-01 00:00:00,1969-01-01 00:00:00,1969-02-01 00:00:00,1969-03-01 00:00:00,1969-04-01 00:00:00,1969-05-01 00:00:00,1969-06-01 00:00:00,1969-07-01 00:00:00,1969-08-01 00:00:00,1969-09-01 00:00:00,1969-10-01 00:00:00,1969-11-01 00:00:00,1969-12-01 00:00:00,1970-01-01 00:00:00,1970-02-01 00:00:00,1970-03-01 00:00:00,1970-04-01 00:00:00,1970-05-01 00:00:00,1970-06-01 00:00:00,1970-07-01 00:00:00,1970-08-01 00:00:00,1970-09-01 00:00:00,1970-10-01 00:00:00,1970-11-01 00:00:00,1970-12-01 00:00:00,1971-01-01 00:00:00,1971-02-01 00:00:00,1971-03-01 00:00:00,1971-04-01 00:00:00,1971-05-01 00:00:00,1971-06-01 00:00:00,1971-07-01 00:00:00,1971-08-01 00:00:00,1971-09-01 00:00:00,1971-10-01 00:00:00,1971-11-01 00:00:00,1971-12-01 00:00:00,1972-01-01 00:00:00,1972-02-01 00:00:00,1972-03-01 00:00:00,1972-04-01 00:00:00,1972-05-01 00:00:00,1972-06-01 00:00:00,1972-07-01 00:00:00,1972-08-01 00:00:00,1972-09-01 00:00:00,1972-10-01 00:00:00,1972-11-01 00:00:00,1972-12-01 00:00:00,1973-01-01 00:00:00,1973-02-01 00:00:00,1973-03-01 00:00:00
An Giang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Lieu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Giang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Kan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bac Ninh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ben Tre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ba Ria - Vung Tau,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binh Dinh,0.0,1.0,0.0,0.0,2.0,5.0,4.0,7.0,1.0,3.0,50.0,3.0,3.0,0.0,4.0,1.0,0.0,0.0,1.0,6.0,0.0,2.0,48.0,93.0,113.0,83.0,39.0,52.0,28.0,34.0,46.0,39.0,29.0,112.0,56.0,35.0,34.0,47.0,87.0,26.0,43.0,32.0,39.0,15.0,35.0,28.0,23.0,21.0,24.0,20.0,34.0,32.0,48.0,39.0,28.0,51.0,46.0,19.0,36.0,38.0,40.0,46.0,38.0,50.0,43.0,35.0,67.0,42.0,26.0,15.0,22.0,26.0,28.0,24.0,15.0,15.0,8.0,6.0,4.0,2.0,3.0,2.0,1.0,0.0,2.0,5.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binh Duong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,136.0,39.0,23.0,32.0,52.0,36.0,44.0,25.0,40.0,96.0,52.0,88.0,100.0,128.0,91.0,97.0,113.0,67.0,60.0,39.0,38.0,63.0,81.0,67.0,71.0,118.0,92.0,79.0,70.0,76.0,46.0,69.0,43.0,37.0,48.0,40.0,25.0,25.0,27.0,26.0,10.0,17.0,11.0,29.0,21.0,15.0,12.0,8.0,4.0,11.0,2.0,7.0,3.0,1.0,2.0,0.0,5.0,3.0,5.0,0.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Binh Phuoc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
