FATALITY_DATE,DEPLOYMENT_PROVINCE_1,count
1965-03-01,Quang Nam,5
1965-03-01,Other provinces,13
1965-04-01,Binh Dinh,1
1965-04-01,Thua Thien - Hue,2
1965-04-01,Quang Nam,3
1965-04-01,Other provinces,33
1965-05-01,Quang Ngai,1
1965-05-01,Quang Nam,12
1965-05-01,Other provinces,66
1965-06-01,Quang Ngai,1
1965-06-01,Thua Thien - Hue,1
1965-06-01,Quang Nam,32
1965-06-01,Other provinces,82
1965-07-01,Kon Tum,1
1965-07-01,Tay Ninh,1
1965-07-01,Binh Dinh,2
1965-07-01,Quang Nam,38
1965-07-01,Other provinces,53
1965-08-01,Quang Tri,3
1965-08-01,Binh Dinh,5
1965-08-01,Other provinces,27
1965-08-01,Quang Nam,75
1965-09-01,Kon Tum,1
1965-09-01,Thua Thien - Hue,2
1965-09-01,Binh Dinh,4
1965-09-01,Quang Nam,47
1965-09-01,Other provinces,79
1965-10-01,Thua Thien - Hue,5
1965-10-01,Binh Dinh,7
1965-10-01,Quang Nam,56
1965-10-01,Other provinces,135
1965-11-01,Binh Dinh,1
1965-11-01,Thua Thien - Hue,2
1965-11-01,Quang Nam,39
1965-11-01,Other provinces,459
1965-12-01,Binh Duong,1
1965-12-01,Kon Tum,2
1965-12-01,Thua Thien - Hue,2
1965-12-01,Binh Dinh,3
1965-12-01,Quang Nam,101
1965-12-01,Other provinces,170
1966-01-01,Thua Thien - Hue,3
1966-01-01,Quang Ngai,6
1966-01-01,Binh Dinh,50
1966-01-01,Quang Nam,63
1966-01-01,Other provinces,212
1966-02-01,Quang Tri,1
1966-02-01,Thua Thien - Hue,2
1966-02-01,Binh Dinh,3
1966-02-01,Quang Ngai,24
1966-02-01,Quang Nam,51
1966-02-01,Other provinces,382
1966-03-01,Quang Tri,1
1966-03-01,Binh Dinh,3
1966-03-01,Thua Thien - Hue,38
1966-03-01,Quang Nam,80
1966-03-01,Quang Ngai,162
1966-03-01,Other provinces,252
1966-04-01,Quang Ngai,10
1966-04-01,Thua Thien - Hue,19
1966-04-01,Quang Nam,75
1966-04-01,Other provinces,264
1966-05-01,Kon Tum,1
1966-05-01,Quang Ngai,3
1966-05-01,Binh Dinh,4
1966-05-01,Thua Thien - Hue,35
1966-05-01,Quang Nam,125
1966-05-01,Other provinces,360
1966-06-01,Binh Duong,1
1966-06-01,Binh Dinh,1
1966-06-01,Kon Tum,2
1966-06-01,Quang Tri,8
1966-06-01,Quang Ngai,8
1966-06-01,Thua Thien - Hue,33
1966-06-01,Quang Nam,97
1966-06-01,Other provinces,409
1966-07-01,Binh Duong,1
1966-07-01,Thua Thien - Hue,4
1966-07-01,Quang Ngai,15
1966-07-01,Quang Nam,91
1966-07-01,Quang Tri,125
1966-07-01,Other provinces,277
1966-08-01,Quang Ngai,3
1966-08-01,Thua Thien - Hue,6
1966-08-01,Quang Tri,37
1966-08-01,Quang Nam,106
1966-08-01,Other provinces,306
1966-09-01,Binh Dinh,1
1966-09-01,Thua Thien - Hue,6
1966-09-01,Quang Ngai,9
1966-09-01,Quang Nam,110
1966-09-01,Quang Tri,120
1966-09-01,Other provinces,240
1966-10-01,Thua Thien - Hue,3
1966-10-01,Binh Dinh,6
1966-10-01,Quang Ngai,7
1966-10-01,Quang Tri,57
1966-10-01,Quang Nam,78
1966-10-01,Other provinces,310
1966-11-01,Thua Thien - Hue,6
1966-11-01,Quang Ngai,10
1966-11-01,Quang Tri,16
1966-11-01,Quang Nam,95
1966-11-01,Other provinces,473
1966-12-01,Binh Dinh,2
1966-12-01,Thua Thien - Hue,7
1966-12-01,Quang Ngai,8
1966-12-01,Quang Tri,55
1966-12-01,Quang Nam,97
1966-12-01,Other provinces,317
1967-01-01,Tay Ninh,13
1967-01-01,Kon Tum,14
1967-01-01,Thua Thien - Hue,16
1967-01-01,Quang Tri,16
1967-01-01,Quang Ngai,22
1967-01-01,Binh Dinh,48
1967-01-01,Quang Nam,114
1967-01-01,Binh Duong,136
1967-01-01,Other provinces,195
1967-02-01,Quang Tri,26
1967-02-01,Thua Thien - Hue,28
1967-02-01,Binh Duong,39
1967-02-01,Quang Ngai,53
1967-02-01,Kon Tum,67
1967-02-01,Quang Nam,86
1967-02-01,Binh Dinh,93
1967-02-01,Tay Ninh,105
1967-02-01,Other provinces,225
1967-03-01,Thua Thien - Hue,19
1967-03-01,Binh Duong,23
1967-03-01,Kon Tum,55
1967-03-01,Quang Ngai,71
1967-03-01,Quang Nam,111
1967-03-01,Binh Dinh,113
1967-03-01,Tay Ninh,147
1967-03-01,Quang Tri,183
1967-03-01,Other provinces,334
1967-04-01,Kon Tum,1
1967-04-01,Binh Duong,32
1967-04-01,Thua Thien - Hue,47
1967-04-01,Quang Ngai,54
1967-04-01,Tay Ninh,77
1967-04-01,Binh Dinh,83
1967-04-01,Quang Tri,116
1967-04-01,Quang Nam,141
1967-04-01,Other provinces,253
1967-05-01,Kon Tum,4
1967-05-01,Thua Thien - Hue,22
1967-05-01,Tay Ninh,27
1967-05-01,Binh Dinh,39
1967-05-01,Binh Duong,52
1967-05-01,Quang Ngai,143
1967-05-01,Quang Nam,260
1967-05-01,Other provinces,379
1967-05-01,Quang Tri,419
1967-06-01,Tay Ninh,4
1967-06-01,Thua Thien - Hue,32
1967-06-01,Binh Duong,36
1967-06-01,Binh Dinh,52
1967-06-01,Quang Ngai,76
1967-06-01,Kon Tum,85
